#
#   Midwest SP700  -  short pass 700 nm
#   IR blocker
#
#   this data came from the manufacturer web page in May 2014
#   http://www.midopt.com/sp700.html
#
#   In March 2015 the numbers are a little different
#   
#

Wavelength	Transmittance
380	0.001
390	0.0194
400	0.5009
410	0.801
420	0.8888
430	0.9298
440	0.9224
450	0.9169
460	0.9147
470	0.934
480	0.9551
490	0.957
500	0.9417
510	0.9183
520	0.9186
530	0.9382
540	0.9658
550	0.9743
560	0.9429
570	0.965
580	0.9506
590	0.9211
600	0.9551
610	0.9461
620	0.9562
630	0.9136
640	0.9286
650	0.8719
660	0.8318
670	0.9365
680	0.8643
690	0.5384
700	0.1945
710	0.1107
720	0.0825
730	0.0376
740	0.0182
750	0.0163
760	0.0225
770	0.0206
780	0.0102
790	0.0072
800	0.0086
