
#    Vos & Walraven (1971) 2-deg cone fundamentals
#
#    Vos, J. J. & Walraven, P. L.
#    On the derivation of the foveal receptor primaries. 
#    Vision Research, 11, (1971) 799-818.
#
#    http://www.cvrl.org/database/text/cones/vw.htm

wavelength long medium short
380 0.0005547089 0.0006900565 0.03678
385 0.001094226 0.001370515 0.072666
390 0.002202687 0.002792337 0.14775
395 0.004232395 0.005441814 0.285405
400 0.007627701 0.009935635 0.52227
405 0.01259013 0.01670955 0.8703899
410 0.01979033 0.02699138 1.38159
415 0.03111875 0.04372455 2.19498
420 0.04544897 0.06652023 3.1974
425 0.05735638 0.08926533 3.9438
430 0.06695636 0.1116138 4.4016
435 0.07706879 0.1388784 4.7388
440 0.08644926 0.1678852 4.8498
445 0.09297719 0.1951677 4.7046
450 0.09855498 0.2236044 4.4151
455 0.1056857 0.2571385 4.122
460 0.1183319 0.3026205 3.8751
465 0.1424055 0.3707802 3.7068
470 0.1799764 0.4577883 3.3414
475 0.2296266 0.5550429 2.8266
480 0.2926988 0.6643391 2.26788
485 0.3689085 0.7893801 1.7592
490 0.4653589 0.9396203 1.34007
495 0.5915989 1.137403 1.02348
500 0.7551107 1.394296 0.79311
505 0.9637657 1.718139 0.61782
510 1.215254 2.093083 0.4633501
515 1.493318 2.482512 0.3275402
520 1.771781 2.842279 0.2297552
525 2.016068 3.119478 0.1686812
530 2.221336 3.311095 0.1240982
535 2.395522 3.440348 0.08805927
540 2.537755 3.506726 0.06012628
545 2.651178 3.51465 0.03993629
550 2.740199 3.471313 0.0263472
555 2.808112 3.381549 0.0175722
560 2.853749 3.245979 0.0121482
565 2.872704 3.062605 0.0087654
570 2.865394 2.837321 0.006831594
575 2.832012 2.577184 0.005912086
580 2.771088 2.289694 0.005420073
585 2.681917 1.984942 0.004634959
590 2.569093 1.678273 0.003704642
595 2.43668 1.384197 0.003353325
600 2.283006 1.117514 0.002717126
605 2.112049 0.8795493 0.002084197
610 1.925855 0.6801286 0.001286717
615 1.731201 0.5177906 0.0009546583
620 1.522961 0.3874887 0.0007680688
625 1.302385 0.283866 0.0004704789
630 1.091632 0.2051778 0.0002931725
635 0.9046269 0.146869 0.0002069064
640 0.7367538 0.1039499 0.0001535552
645 0.5862234 0.07262772 0.0001080957
650 0.4569183 0.05074075 7.2751e-05
655 0.350239 0.03561188 5.077328e-05
660 0.2624247 0.02507234 3.573915e-05
665 0.1912303 0.0171585 2.446208e-05
670 0.1383469 0.01179763 1.681292e-05
675 0.1015574 0.008333309 1.187135e-05
680 0.07369112 0.005881109 8.37951e-06
685 0.05149648 0.004039348 5.756929e-06
690 0.03562477 0.002768056 3.943355e-06
695 0.02505603 0.001928462 2.747578e-06
700 0.01780819 0.001365477 1.944437e-06
705 0.01271524 0.0009769984 1.391579e-06
710 0.009074866 0.0007017866 9.998473e-07
715 0.006430396 0.0005020302 7.152055e-07
720 0.004540231 0.000358778 5.11144e-07
725 0.0032078 0.0002572098 3.664673e-07
730 0.002252275 0.0001834839 2.615017e-07
735 0.001562233 0.0001294675 1.844904e-07
740 0.001077844 9.094397e-05 1.295726e-07
745 0.0007447149 6.400389e-05 9.119684e-08
750 0.0005182106 4.541497e-05 6.470366e-08
755 0.0003651183 3.263466e-05 4.650837e-08
760 0.000258661 2.359095e-05 3.363282e-08
765 0.0001828117 1.703452e-05 2.427662e-08
770 0.0001290842 1.228519e-05 1.75124e-08
775 9.117248e-05 8.864687e-06 1.264035e-08
780 6.436438e-05 6.397357e-06 9.120094e-09

