#
#   DAB-L20.txt
#
#   DAB L20  made by Vector
#
#   from Figure 3 in:
#
#   William J. Cukierski1, Xin Qi, and David J. Foran
#   MOVING BEYOND COLOR: THE CASE FOR MULTISPECTRAL IMAGING IN BRIGHTFIELD PATHOLOGY
#   Proc IEEE Int Symp Biomed Imaging. 2009 ; 5193251: 1111-1114. doi:10.1109/ISBI.2009.5193251.

[Control]
Xpx	Ypx	X	Y
170	315	400	0.0
592	315	750	0.0
170	40	400	0.8
592	40	750	0.8


[Absorbance]
176	134
182	113
188	111
195	90
202	72
209	64
215	60
226	61
231	60
245	69
261	84
274	101
289	119
302	134
315	148
330	160
345	173
364	189
377	199
393	210
410	218
432	230
453	240
470	246
493	254
516	264
539	275
562	286
581	294
594	300
613	303
627	304
641	298
653	292
