#
#   http://www.olino.org/us/articles/2015/10/05/spectrum-of-moon-light
#
#   OPERATOR:   Marcel van der Steen
#   INSTRUMENT: SpecBos 1211
#   DATE:       April 14, 2014 at 23:16pm  [2014-04-14_23:16]
#   LATITUDE:   51.42359906
#   LONGITUDE:  5.40894538
#   QUANTITY:   power
#   UNITS:      Watts / (sr * m^2 * nm)
#   ORIGINAL FILENAME: 004_measurementsMoonSpectrum_OliNo.org_.csv
#   URL:        http://www.olino.org/us/articles/2015/10/05/spectrum-of-moon-light

wavelength	power
697	2.43E-03
698	2.42E-03
699	2.40E-03
700	2.38E-03
701	2.37E-03
702	2.38E-03
703	2.41E-03
704	2.42E-03
705	2.43E-03
706	2.43E-03
707	2.43E-03
708	2.44E-03
709	2.44E-03
710	2.43E-03
711	2.43E-03
712	2.42E-03
713	2.41E-03
714	2.38E-03
715	2.31E-03
716	2.18E-03
717	2.04E-03
718	1.93E-03
719	1.91E-03
720	1.98E-03
721	2.07E-03
722	2.10E-03
723	2.07E-03
724	2.02E-03
725	2.00E-03
726	2.01E-03
727	2.02E-03
728	2.02E-03
729	2.04E-03
730	2.07E-03
731	2.12E-03
732	2.18E-03
733	2.24E-03
734	2.26E-03
735	2.26E-03
736	2.26E-03
737	2.26E-03
738	2.26E-03
739	2.26E-03
740	2.26E-03
741	2.27E-03
742	2.28E-03
743	2.28E-03
744	2.29E-03
745	2.30E-03
746	2.30E-03
747	2.30E-03
748	2.29E-03
749	2.28E-03
750	2.27E-03
751	2.26E-03
752	2.25E-03
753	2.25E-03
754	2.25E-03
755	2.24E-03
756	2.24E-03
757	2.14E-03
758	1.79E-03
759	1.28E-03
760	8.40E-04
761	6.72E-04
762	7.19E-04
763	8.36E-04
764	1.04E-03
765	1.32E-03
766	1.62E-03
767	1.86E-03
768	2.01E-03
769	2.09E-03
770	2.13E-03
771	2.15E-03
772	2.17E-03
773	2.17E-03
774	2.17E-03
775	2.16E-03
776	2.16E-03
777	2.16E-03
778	2.16E-03
779	2.16E-03
780	2.15E-03
781	2.14E-03
782	2.14E-03
783	2.14E-03
784	2.14E-03
785	2.13E-03
786	2.11E-03
787	2.10E-03
788	2.08E-03
789	2.06E-03
790	2.05E-03
791	2.04E-03
792	2.02E-03
793	2.00E-03
794	2.01E-03
795	2.01E-03
796	2.02E-03
797	2.03E-03
798	2.02E-03
799	2.00E-03
800	1.98E-03
801	1.98E-03
802	1.98E-03
803	1.98E-03
804	1.98E-03
805	1.98E-03
806	1.97E-03
807	1.96E-03
808	1.94E-03
809	1.94E-03
810	1.92E-03
811	1.88E-03
812	1.81E-03
813	1.74E-03
814	1.66E-03
815	1.60E-03
816	1.56E-03
817	1.54E-03
818	1.56E-03
819	1.60E-03
820	1.64E-03
821	1.62E-03
822	1.59E-03
823	1.59E-03
824	1.65E-03
825	1.69E-03
826	1.70E-03
827	1.68E-03
828	1.67E-03
829	1.67E-03
830	1.68E-03
831	1.67E-03
832	1.68E-03
833	1.70E-03
834	1.73E-03
835	1.77E-03
836	1.80E-03
837	1.81E-03
838	1.80E-03
839	1.80E-03
840	1.80E-03
841	1.81E-03
842	1.82E-03
843	1.82E-03
844	1.81E-03
845	1.81E-03
846	1.80E-03
847	1.79E-03
848	1.77E-03
849	1.76E-03
850	1.75E-03
851	1.74E-03
852	1.70E-03
853	1.66E-03
854	1.64E-03
855	1.67E-03
856	1.71E-03
857	1.74E-03
858	1.76E-03
859	1.76E-03
860	1.75E-03
861	1.74E-03
862	1.74E-03
863	1.73E-03
864	1.71E-03
865	1.67E-03
866	1.65E-03
867	1.65E-03
868	1.66E-03
869	1.68E-03
870	1.69E-03
871	1.70E-03
872	1.70E-03
873	1.70E-03
874	1.69E-03
875	1.68E-03
876	1.68E-03
877	1.67E-03
878	1.66E-03
879	1.67E-03
880	1.66E-03
881	1.67E-03
882	1.67E-03
883	1.66E-03
884	1.65E-03
885	1.64E-03
886	1.63E-03
887	1.64E-03
888	1.64E-03
889	1.64E-03
890	1.62E-03
891	1.60E-03
892	1.57E-03
893	1.53E-03
894	1.48E-03
895	1.43E-03
896	1.37E-03
897	1.32E-03
898	1.27E-03
899	1.24E-03
900	1.22E-03
901	1.23E-03
902	1.25E-03
903	1.29E-03
904	1.31E-03
905	1.30E-03
906	1.29E-03
907	1.27E-03
908	1.24E-03
909	1.23E-03
910	1.21E-03
911	1.19E-03
912	1.17E-03
913	1.17E-03
914	1.17E-03
915	1.17E-03
916	1.18E-03
917	1.19E-03
918	1.21E-03
919	1.22E-03
920	1.24E-03
921	1.25E-03
922	1.25E-03
923	1.25E-03
924	1.25E-03
925	1.23E-03
926	1.20E-03
927	1.15E-03
928	1.09E-03
929	1.02E-03
930	9.31E-04
931	8.37E-04
932	7.43E-04
933	6.56E-04
934	5.88E-04
935	5.42E-04
936	5.25E-04
937	5.27E-04
938	5.40E-04
939	5.59E-04
940	5.78E-04
941	5.93E-04
942	6.05E-04
943	6.14E-04
944	6.17E-04
945	6.17E-04
946	6.16E-04
947	6.18E-04
948	6.22E-04
949	6.25E-04
950	6.32E-04
951	6.43E-04
952	6.51E-04
953	6.66E-04
954	6.86E-04
955	6.99E-04
956	7.06E-04
957	7.16E-04
958	7.31E-04
959	7.50E-04
960	7.73E-04
961	7.92E-04
962	8.10E-04
963	8.39E-04
964	8.69E-04
965	8.95E-04
966	9.26E-04
967	9.63E-04
968	1.00E-03
969	1.03E-03
970	1.06E-03
971	1.08E-03
972	1.08E-03
973	1.09E-03
974	1.11E-03
975	1.13E-03
976	1.14E-03
977	1.14E-03
978	1.14E-03
979	1.14E-03
980	1.15E-03
981	1.17E-03
982	1.19E-03
983	1.20E-03
984	1.22E-03
985	1.24E-03
986	1.26E-03
987	1.27E-03
988	1.28E-03
989	1.29E-03
990	1.30E-03
991	1.31E-03
992	1.32E-03
993	1.32E-03
994	1.32E-03
995	1.32E-03
996	1.33E-03
997	1.34E-03
998	1.33E-03
999	1.32E-03
1000	1.32E-03
