#
#   http://www.olino.org/us/articles/2015/10/05/spectrum-of-moon-light
#
#   OPERATOR:   Marcel van der Steen
#   INSTRUMENT: SpecBos 1211
#   DATE:       April 14, 2014 at 23:16pm  [2014-04-14_23:16]
#   LATITUDE:   51.42359906
#   LONGITUDE:  5.40894538
#   QUANTITY:   power
#   UNITS:      Watts / (sr * m^2 * nm)
#   ORIGINAL FILENAME: 004_measurementsMoonSpectrum_OliNo.org_.csv
#   URL:        http://www.olino.org/us/articles/2015/10/05/spectrum-of-moon-light

wavelength	power
250	1.47E-05
251	1.26E-05
252	1.51E-05
253	1.79E-05
254	1.87E-05
255	1.57E-05
256	1.15E-05
257	9.03E-06
258	1.08E-05
259	1.46E-05
260	1.50E-05
261	1.35E-05
262	1.25E-05
263	1.35E-05
264	1.43E-05
265	1.34E-05
266	1.12E-05
267	9.38E-06
268	1.02E-05
269	1.08E-05
270	1.21E-05
271	1.35E-05
272	1.36E-05
273	9.52E-06
274	7.85E-06
275	1.28E-05
276	1.43E-05
277	1.17E-05
278	1.10E-05
279	1.22E-05
280	1.47E-05
281	1.38E-05
282	1.09E-05
283	1.01E-05
284	1.07E-05
285	1.14E-05
286	1.02E-05
287	8.94E-06
288	9.40E-06
289	1.06E-05
290	1.16E-05
291	1.15E-05
292	1.06E-05
293	1.02E-05
294	1.13E-05
295	1.28E-05
296	1.16E-05
297	1.00E-05
298	1.04E-05
299	1.10E-05
300	1.16E-05
301	1.24E-05
302	1.24E-05
303	1.15E-05
304	1.13E-05
305	1.21E-05
306	1.30E-05
307	1.37E-05
308	1.34E-05
309	1.22E-05
310	1.14E-05
311	1.26E-05
312	1.35E-05
313	1.35E-05
314	1.30E-05
315	1.28E-05
316	1.34E-05
317	1.52E-05
318	1.63E-05
319	1.42E-05
320	1.29E-05
321	1.54E-05
322	1.61E-05
323	1.48E-05
324	1.54E-05
325	1.61E-05
326	1.54E-05
327	1.67E-05
328	1.97E-05
329	2.18E-05
330	2.39E-05
331	2.67E-05
332	2.90E-05
333	3.20E-05
334	3.76E-05
335	4.14E-05
336	4.27E-05
337	4.78E-05
338	5.65E-05
339	6.45E-05
340	7.23E-05
341	8.01E-05
342	8.52E-05
343	8.92E-05
344	9.51E-05
345	1.02E-04
346	1.10E-04
347	1.19E-04
348	1.29E-04
349	1.40E-04
350	1.50E-04
351	1.58E-04
352	1.69E-04
353	1.83E-04
354	1.93E-04
355	1.94E-04
356	1.88E-04
357	1.87E-04
358	1.95E-04
359	2.10E-04
360	2.28E-04
361	2.43E-04
362	2.55E-04
363	2.71E-04
364	2.93E-04
365	3.17E-04
366	3.34E-04
367	3.41E-04
368	3.47E-04
369	3.60E-04
370	3.66E-04
371	3.61E-04
372	3.48E-04
373	3.37E-04
374	3.38E-04
375	3.60E-04
376	3.93E-04
377	4.16E-04
378	4.25E-04
379	4.21E-04
380	4.07E-04
381	3.82E-04
382	3.58E-04
383	3.55E-04
384	3.78E-04
385	4.06E-04
386	4.31E-04
387	4.51E-04
388	4.82E-04
389	5.24E-04
390	5.43E-04
391	5.29E-04
392	4.89E-04
393	4.68E-04
394	4.84E-04
395	5.12E-04
396	5.55E-04
397	6.15E-04
398	7.03E-04
399	8.03E-04
400	8.92E-04
401	9.48E-04
402	9.73E-04
403	9.82E-04
404	9.79E-04
405	9.76E-04
406	9.74E-04
407	9.87E-04
408	1.00E-03
409	1.01E-03
410	1.02E-03
411	1.05E-03
412	1.08E-03
413	1.09E-03
414	1.11E-03
415	1.12E-03
416	1.14E-03
417	1.15E-03
418	1.15E-03
419	1.15E-03
420	1.15E-03
421	1.13E-03
422	1.13E-03
423	1.14E-03
424	1.15E-03
425	1.15E-03
426	1.14E-03
427	1.12E-03
428	1.09E-03
429	1.06E-03
430	1.06E-03
431	1.11E-03
432	1.18E-03
433	1.24E-03
434	1.28E-03
435	1.31E-03
436	1.33E-03
437	1.33E-03
438	1.34E-03
439	1.38E-03
440	1.41E-03
441	1.46E-03
442	1.50E-03
443	1.53E-03
444	1.55E-03
445	1.57E-03
446	1.59E-03
447	1.63E-03
448	1.68E-03
449	1.73E-03
450	1.76E-03
451	1.77E-03
452	1.76E-03
453	1.76E-03
454	1.78E-03
455	1.80E-03
456	1.82E-03
457	1.84E-03
458	1.86E-03
459	1.87E-03
460	1.89E-03
461	1.92E-03
462	1.93E-03
463	1.93E-03
464	1.93E-03
465	1.93E-03
466	1.94E-03
467	1.94E-03
468	1.95E-03
469	1.96E-03
470	1.97E-03
471	2.00E-03
472	2.02E-03
473	2.03E-03
474	2.04E-03
475	2.06E-03
476	2.07E-03
477	2.10E-03
478	2.12E-03
479	2.13E-03
480	2.16E-03
481	2.17E-03
482	2.17E-03
483	2.14E-03
484	2.09E-03
485	2.05E-03
486	2.03E-03
487	2.04E-03
488	2.08E-03
489	2.12E-03
490	2.15E-03
491	2.17E-03
492	2.18E-03
493	2.21E-03
494	2.24E-03
495	2.25E-03
496	2.26E-03
497	2.25E-03
498	2.24E-03
499	2.23E-03
500	2.21E-03
501	2.20E-03
502	2.20E-03
503	2.22E-03
504	2.24E-03
505	2.27E-03
506	2.29E-03
507	2.29E-03
508	2.30E-03
509	2.32E-03
510	2.32E-03
511	2.32E-03
512	2.32E-03
513	2.30E-03
514	2.27E-03
515	2.22E-03
516	2.19E-03
517	2.17E-03
518	2.18E-03
519	2.22E-03
520	2.26E-03
521	2.30E-03
522	2.33E-03
523	2.35E-03
524	2.35E-03
525	2.33E-03
526	2.33E-03
527	2.34E-03
528	2.36E-03
529	2.39E-03
530	2.41E-03
531	2.42E-03
532	2.41E-03
533	2.42E-03
534	2.43E-03
535	2.45E-03
536	2.46E-03
537	2.45E-03
538	2.44E-03
539	2.43E-03
540	2.42E-03
541	2.43E-03
542	2.43E-03
543	2.45E-03
544	2.46E-03
545	2.48E-03
546	2.48E-03
547	2.49E-03
548	2.49E-03
549	2.49E-03
550	2.50E-03
551	2.51E-03
552	2.51E-03
553	2.52E-03
554	2.52E-03
555	2.51E-03
556	2.49E-03
557	2.47E-03
558	2.46E-03
559	2.46E-03
560	2.46E-03
561	2.47E-03
562	2.48E-03
563	2.47E-03
564	2.47E-03
565	2.47E-03
566	2.46E-03
567	2.45E-03
568	2.44E-03
569	2.43E-03
570	2.43E-03
571	2.43E-03
572	2.44E-03
573	2.45E-03
574	2.45E-03
575	2.44E-03
576	2.44E-03
577	2.44E-03
578	2.45E-03
579	2.47E-03
580	2.50E-03
581	2.53E-03
582	2.55E-03
583	2.56E-03
584	2.56E-03
585	2.55E-03
586	2.53E-03
587	2.49E-03
588	2.46E-03
589	2.44E-03
590	2.44E-03
591	2.46E-03
592	2.49E-03
593	2.50E-03
594	2.51E-03
595	2.51E-03
596	2.51E-03
597	2.51E-03
598	2.50E-03
599	2.50E-03
600	2.50E-03
601	2.49E-03
602	2.50E-03
603	2.52E-03
604	2.53E-03
605	2.54E-03
606	2.54E-03
607	2.54E-03
608	2.53E-03
609	2.52E-03
610	2.52E-03
611	2.51E-03
612	2.51E-03
613	2.51E-03
614	2.50E-03
615	2.49E-03
616	2.49E-03
617	2.50E-03
618	2.52E-03
619	2.54E-03
620	2.54E-03
621	2.54E-03
622	2.53E-03
623	2.51E-03
624	2.50E-03
625	2.48E-03
626	2.46E-03
627	2.45E-03
628	2.44E-03
629	2.44E-03
630	2.44E-03
631	2.45E-03
632	2.47E-03
633	2.49E-03
634	2.51E-03
635	2.53E-03
636	2.55E-03
637	2.56E-03
638	2.57E-03
639	2.56E-03
640	2.56E-03
641	2.56E-03
642	2.56E-03
643	2.56E-03
644	2.56E-03
645	2.55E-03
646	2.54E-03
647	2.52E-03
648	2.51E-03
649	2.51E-03
650	2.52E-03
651	2.53E-03
652	2.54E-03
653	2.51E-03
654	2.45E-03
655	2.40E-03
656	2.37E-03
657	2.41E-03
658	2.47E-03
659	2.52E-03
660	2.56E-03
661	2.58E-03
662	2.58E-03
663	2.58E-03
664	2.59E-03
665	2.59E-03
666	2.59E-03
667	2.59E-03
668	2.59E-03
669	2.59E-03
670	2.58E-03
671	2.58E-03
672	2.58E-03
673	2.58E-03
674	2.58E-03
675	2.58E-03
676	2.58E-03
677	2.59E-03
678	2.58E-03
679	2.58E-03
680	2.58E-03
681	2.57E-03
682	2.56E-03
683	2.55E-03
684	2.49E-03
685	2.36E-03
686	2.19E-03
687	2.04E-03
688	2.01E-03
689	2.06E-03
690	2.15E-03
691	2.24E-03
692	2.30E-03
693	2.33E-03
694	2.36E-03
695	2.38E-03
696	2.41E-03
