#
#   Spectrum of the blue flame from a butane torch showing excited molecular radical band emission and Swan bands.
#   Wikipedia User:Eli Rabett
#   Ocean Optics HR2000 spectrometer
#
#   the division between CH and C2 (Swan bands) is about 433 nm
#
#   File talk:Spectrum of blue flame - intensity corrected.png
#   January 2007
#   https://en.wikipedia.org/wiki/File_talk:Spectrum_of_blue_flame_-_intensity_corrected.png

wavelength,irradiance
373.5,0.146
373.97,0.177
374.43,0.189
374.89,0.173
375.35,0.168
375.82,0.147
376.28,0.184
376.74,0.186
377.2,0.145
377.67,0.179
378.13,0.147
378.59,0.195
379.06,0.153
379.52,0.151
379.98,0.155
380.44,0.132
380.91,0.158
381.37,0.154
381.83,0.166
382.29,0.18
382.75,0.12
383.22,0.193
383.68,0.16
384.14,0.143
384.6,0.163
385.07,0.155
385.53,0.162
385.99,0.191
386.45,0.187
386.91,0.212
387.38,0.241
387.84,0.271
388.3,0.234
388.76,0.271
389.23,0.269
389.69,0.26
390.15,0.244
390.61,0.251
391.07,0.272
391.53,0.238
392,0.218
392.46,0.22
392.92,0.206
393.38,0.206
393.84,0.209
394.31,0.178
394.77,0.179
395.23,0.164
395.69,0.191
396.15,0.173
396.61,0.136
397.07,0.157
397.54,0.141
398,0.136
398.46,0.122
398.92,0.149
399.38,0.138
399.84,0.142
400.3,0.136
400.77,0.118
401.23,0.121
401.69,0.133
402.15,0.12
402.61,0.125
403.07,0.112
403.53,0.114
403.99,0.116
404.46,0.129
404.92,0.118
405.38,0.107
405.84,0.107
406.3,0.111
406.76,0.11
407.22,0.102
407.68,0.113
408.14,0.121
408.6,0.104
409.06,0.104
409.53,0.117
409.99,0.116
410.45,0.103
410.91,0.101
411.37,0.109
411.83,0.103
412.29,0.109
412.75,0.105
413.21,0.1
413.67,0.099
414.13,0.099
414.59,0.107
415.05,0.103
415.51,0.1
415.97,0.106
416.43,0.106
416.89,0.113
417.35,0.107
417.81,0.114
418.28,0.103
418.74,0.104
419.2,0.11
419.66,0.104
420.12,0.124
420.58,0.129
421.04,0.139
421.5,0.146
421.96,0.152
422.42,0.164
422.88,0.179
423.34,0.195
423.8,0.197
424.26,0.208
424.72,0.224
425.18,0.248
425.64,0.252
426.1,0.279
426.56,0.306
427.02,0.316
427.47,0.347
427.93,0.38
428.39,0.411
428.85,0.485
429.31,0.565
429.77,0.696
430.23,0.835
430.69,0.954
431.15,1.058
431.61,0.953
432.07,0.864
432.53,0.584
432.99,0.369
433.45,0.244
433.91,0.208
434.37,0.213
434.83,0.232
435.29,0.259
435.75,0.282
436.2,0.286
436.66,0.293
437.12,0.291
437.58,0.273
438.04,0.257
438.5,0.213
438.96,0.18
439.42,0.155
439.88,0.13
440.34,0.113
440.8,0.088
441.25,0.087
441.71,0.08
442.17,0.078
442.63,0.076
443.09,0.073
443.55,0.076
444.01,0.073
444.47,0.069
444.92,0.073
445.38,0.072
445.84,0.067
446.3,0.072
446.76,0.069
447.22,0.072
447.68,0.066
448.13,0.065
448.59,0.07
449.05,0.067
449.51,0.068
449.97,0.064
450.43,0.066
450.88,0.065
451.34,0.071
451.8,0.065
452.26,0.062
452.72,0.062
453.18,0.067
453.63,0.066
454.09,0.066
454.55,0.068
455.01,0.064
455.47,0.062
455.92,0.065
456.38,0.068
456.84,0.063
457.3,0.071
457.76,0.071
458.21,0.068
458.67,0.073
459.13,0.075
459.59,0.075
460.05,0.081
460.5,0.082
460.96,0.083
461.42,0.091
461.88,0.093
462.33,0.104
462.79,0.106
463.25,0.112
463.71,0.121
464.16,0.137
464.62,0.139
465.08,0.157
465.54,0.17
465.99,0.183
466.45,0.204
466.91,0.227
467.37,0.238
467.82,0.265
468.28,0.294
468.74,0.31
469.2,0.308
469.65,0.302
470.11,0.286
470.57,0.28
471.02,0.272
471.48,0.249
471.94,0.248
472.4,0.245
472.85,0.223
473.31,0.208
473.77,0.196
474.22,0.185
474.68,0.155
475.14,0.118
475.59,0.079
476.05,0.056
476.51,0.059
476.97,0.053
477.42,0.054
477.88,0.055
478.34,0.053
478.79,0.054
479.25,0.054
479.71,0.052
480.16,0.052
480.62,0.053
481.08,0.054
481.53,0.051
481.99,0.053
482.44,0.051
482.9,0.054
483.36,0.055
483.81,0.054
484.27,0.06
484.73,0.055
485.18,0.056
485.64,0.057
486.1,0.058
486.55,0.056
487.01,0.056
487.46,0.057
487.92,0.058
488.38,0.056
488.83,0.055
489.29,0.053
489.74,0.054
490.2,0.052
490.66,0.052
491.11,0.049
491.57,0.052
492.02,0.05
492.48,0.053
492.94,0.053
493.39,0.055
493.85,0.056
494.3,0.055
494.76,0.059
495.21,0.056
495.67,0.052
496.13,0.053
496.58,0.056
497.04,0.056
497.49,0.058
497.95,0.06
498.4,0.059
498.86,0.065
499.31,0.065
499.77,0.065
500.23,0.068
500.68,0.071
501.14,0.073
501.59,0.078
502.05,0.081
502.5,0.087
502.96,0.09
503.41,0.092
503.87,0.098
504.32,0.104
504.78,0.112
505.23,0.116
505.69,0.13
506.14,0.139
506.6,0.154
507.05,0.162
507.51,0.176
507.96,0.189
508.42,0.207
508.87,0.222
509.33,0.241
509.78,0.258
510.24,0.274
510.69,0.287
511.15,0.321
511.6,0.347
512.06,0.362
512.51,0.396
512.97,0.42
513.42,0.438
513.88,0.441
514.33,0.438
514.78,0.447
515.24,0.472
515.69,0.514
516.15,0.542
516.6,0.561
517.06,0.516
517.51,0.397
517.97,0.251
518.42,0.102
518.87,0.044
519.33,0.034
519.78,0.033
520.24,0.034
520.69,0.032
521.15,0.034
521.6,0.035
522.05,0.036
522.51,0.032
522.96,0.032
523.42,0.032
523.87,0.031
524.32,0.032
524.78,0.031
525.23,0.032
525.69,0.032
526.14,0.033
526.59,0.032
527.05,0.033
527.5,0.032
527.95,0.031
528.41,0.03
528.86,0.031
529.32,0.033
529.77,0.032
530.22,0.033
530.68,0.031
531.13,0.032
531.58,0.032
532.04,0.033
532.49,0.033
532.94,0.033
533.4,0.033
533.85,0.034
534.3,0.034
534.76,0.034
535.21,0.032
535.66,0.036
536.12,0.037
536.57,0.034
537.02,0.037
537.48,0.037
537.93,0.038
538.38,0.039
538.84,0.039
539.29,0.041
539.74,0.042
540.2,0.044
540.65,0.045
541.1,0.046
541.55,0.047
542.01,0.05
542.46,0.055
542.91,0.056
543.37,0.056
543.82,0.061
544.27,0.061
544.72,0.062
545.18,0.065
545.63,0.065
546.08,0.067
546.54,0.068
546.99,0.072
547.44,0.071
547.89,0.073
548.35,0.076
548.8,0.076
549.25,0.076
549.7,0.083
550.16,0.087
550.61,0.095
551.06,0.088
551.51,0.088
551.96,0.083
552.42,0.088
552.87,0.094
553.32,0.1
553.77,0.104
554.23,0.109
554.68,0.109
555.13,0.103
555.58,0.1
556.03,0.1
556.49,0.104
556.94,0.113
557.39,0.121
557.84,0.132
558.29,0.135
558.75,0.14
559.2,0.128
559.65,0.116
560.1,0.098
560.55,0.089
561.01,0.091
561.46,0.098
561.91,0.109
562.36,0.111
562.81,0.119
563.26,0.126
563.72,0.123
564.17,0.109
564.62,0.079
565.07,0.05
565.52,0.03
565.97,0.025
566.42,0.022
566.88,0.025
567.33,0.026
567.78,0.021
568.23,0.021
568.68,0.022
569.13,0.023
569.58,0.022
570.04,0.021
570.49,0.021
570.94,0.018
571.39,0.021
571.84,0.021
572.29,0.021
572.74,0.022
573.19,0.021
573.64,0.021
574.1,0.02
574.55,0.022
575,0.02
575.45,0.022
575.9,0.021
576.35,0.021
576.8,0.02
577.25,0.022
577.7,0.021
578.15,0.021
578.6,0.021
579.05,0.021
579.51,0.022
579.96,0.024
580.41,0.021
580.86,0.022
581.31,0.021
581.76,0.024
582.21,0.025
582.66,0.024
583.11,0.022
583.56,0.022
584.01,0.024
584.46,0.025
584.91,0.023
585.36,0.025
585.81,0.023
586.26,0.025
586.71,0.025
587.16,0.026
587.61,0.026
588.06,0.029
588.51,0.03
588.96,0.028
589.41,0.03
589.86,0.03
590.31,0.031
590.76,0.029
591.21,0.029
591.66,0.029
592.11,0.03
592.56,0.03
593.01,0.031
593.46,0.03
593.91,0.029
594.36,0.03
594.81,0.03
595.26,0.035
595.71,0.031
596.16,0.03
596.61,0.03
597.06,0.03
597.51,0.03
597.96,0.03
598.41,0.03
598.86,0.032
599.31,0.032
599.76,0.033
600.21,0.032
600.66,0.035
601.11,0.032
601.55,0.031
602,0.029
602.45,0.028
602.9,0.027
603.35,0.029
603.8,0.031
604.25,0.031
604.7,0.033
605.15,0.031
605.6,0.032
606.05,0.033
606.5,0.034
606.94,0.032
607.39,0.027
607.84,0.027
608.29,0.026
608.74,0.027
609.19,0.029
609.64,0.03
610.09,0.031
610.54,0.032
610.98,0.034
611.43,0.035
611.88,0.036
612.33,0.036
612.78,0.033
613.23,0.029
613.68,0.026
614.13,0.022
614.57,0.024
615.02,0.022
615.47,0.024
615.92,0.022
616.37,0.023
616.82,0.025
617.26,0.024
617.71,0.026
618.16,0.026
618.61,0.03
619.06,0.028
619.51,0.026
619.95,0.024
620.4,0.02
620.85,0.017
621.3,0.014
621.75,0.014
622.2,0.016
622.64,0.016
623.09,0.016
623.54,0.014
623.99,0.013
624.44,0.015
624.88,0.015
625.33,0.015
625.78,0.015
626.23,0.014
626.67,0.014
627.12,0.015
627.57,0.015
628.02,0.014
628.47,0.014
628.91,0.013
629.36,0.014
