#
#   Spectrum of the blue flame from a butane torch showing excited molecular radical band emission and Swan bands.
#   Wikipedia User:Eli Rabett
#   Ocean Optics HR2000 spectrometer
#
#   the division between CH and C2 (Swan bands) is about 433 nm
#
#   File talk:Spectrum of blue flame - intensity corrected.png
#   January 2007
#   https://en.wikipedia.org/wiki/File_talk:Spectrum_of_blue_flame_-_intensity_corrected.png

wavelength,irradiance
932.26,0.17
932.69,0.196
933.12,0.199
933.55,0.244
933.98,0.19
934.41,0.147
934.84,0.195
935.26,0.147
935.69,0.207
936.12,0.13
936.55,0.135
936.98,0.139
937.41,0.122
937.84,0.105
938.27,0.074
938.69,0.103
939.12,0.159
939.55,0.091
939.98,0.122
940.41,0.153
940.84,0.112
941.27,0.136
941.69,0.157
942.12,0.013
942.55,0.019
942.98,0.134
943.41,0.145
943.84,0.185
944.26,0.021
944.69,0.083
945.12,0.04
945.55,0.176
945.98,0.264
946.41,0.338
946.83,0.191
947.26,0.065
947.69,0.135
948.12,0.086
948.55,0.078
948.97,0.045
949.4,0.075
949.83,0.123
950.26,0.224
950.69,0.155
951.11,0.17
951.54,0.2
951.97,0.133
952.4,0.311
952.83,0.307
953.25,0.168
953.68,0.079
954.11,0.205
954.54,0.149
954.96,0.225
955.39,0.16
955.82,0.117
956.25,0.078
956.68,0.143
957.1,0.098
957.53,0.126
957.96,0.099
958.39,0.155
958.81,0.321
959.24,0.173
959.67,0.107
960.09,0.173
960.52,0.191
960.95,0.181
961.38,0.246
961.8,0.202
962.23,0.156
962.66,0.135
963.09,0.1
963.51,0.112
963.94,0.128
964.37,0.14
964.79,0.165
965.22,0.208
965.65,0.132
966.07,0.178
966.5,0.146
966.93,0.14
967.36,0.135
967.78,0.187
968.21,0.1
968.64,0.127
969.06,0.191
969.49,0.132
969.92,0.171
970.34,0.173
970.77,0.154
971.2,0.176
971.62,0.171
972.05,0.169
972.48,0.169
972.9,0.307
973.33,0.137
973.76,0.052
974.18,0.077
974.61,0.299
975.04,0.209
975.46,0.217
975.89,0.214
976.31,0.124
976.74,0.145
977.17,0.127
977.59,0.128
978.02,0.178
978.45,0.152
978.87,0.159
979.3,0.18
979.72,0.144
980.15,0.05
980.58,0.156
981,0.109
981.43,0.071
981.85,0.134
982.28,0.121
982.71,0.334
983.13,0.169
983.56,0.137
983.98,0.154
984.41,0.132
984.84,0.121
985.26,0.241
985.69,0.145
986.11,0.057
986.54,0.086
986.96,-0.013
987.39,-0.004
987.81,0.068
988.24,0.055
988.67,0.147
989.09,0.148
989.52,0.014
989.94,0.044
990.37,0.164
990.79,0.329
991.22,0.071
991.64,0.025
992.07,0.082
992.49,0.108
992.92,0.072
993.35,0.078
993.77,0.095
994.2,0.086
994.62,0.097
995.05,0.101
995.47,0.088
995.9,0.157
996.32,0.141
996.75,0.14
997.17,0.127
997.6,0.084
998.02,0.138
998.45,0.107
998.87,0.109
999.3,0.072
999.72,0.052
1000.15,0.126
1000.57,0.091
1001,0.072
1001.42,0.036
1001.85,0.092
1002.27,0.02
1002.69,0.017
1003.12,0
1003.54,0.102
1003.97,0.061
1004.39,0.157
1004.82,0.04
1005.24,0.059
1005.67,-0.02
1006.09,-0.008
1006.52,-0.022
1006.94,0.16
1007.36,0.087
1007.79,0.109
1008.21,0.024
1008.64,-0.028
1009.06,-0.051
1009.49,0.016
1009.91,-0.03
1010.33,0.045
1010.76,0.089
1011.18,-0.008
1011.61,0
1012.03,0.197
1012.45,0.189
1012.88,0.071
1013.3,0.03
1013.73,0.226
1014.15,0.03
1014.57,-0.068
1015,0.118
1015.42,0.191
1015.85,0.152
1016.27,0.15
1016.69,0.139
1017.12,0.324
1017.54,0.083
1017.97,0.154
1018.39,-0.035
1018.81,0.084
1019.24,0.086
1019.66,0.022
1020.08,-0.135
1020.51,-0.052
1020.93,0.03
1021.35,-0.009
1021.78,-0.001
1022.2,0.063
1022.62,0.134
1023.05,0.29
1023.47,0.261
1023.89,0.151
1024.32,0.162
1024.74,0.127
1025.16,-0.032
1025.59,-0.011
1026.01,-0.033
1026.43,0.203
1026.86,0.145
1027.28,-0.134
1027.7,-0.101
1028.13,-0.292
1028.55,-0.113
1028.97,0.1
1029.4,0.193
1029.82,0.063
1030.24,0.077
1030.66,0.123
1031.09,0.201
1031.51,0.302
1031.93,0.05
1032.36,0.361
1032.78,0.091
1033.2,0.065
1033.62,0.282
1034.05,0.035
1034.47,-0.001
1034.89,-0.062
1035.31,-0.204
1035.74,-0.166
1036.16,-0.054
1036.58,-0.115
1037,-0.153
1037.43,0.047
1037.85,-0.138
1038.27,-0.15
1038.69,0.05
1039.12,-0.145
1039.54,-0.257
1039.96,-0.155
1040.38,0.053
1040.81,0.047
1041.23,-0.057
1041.65,0.142
1042.07,0.204
1042.49,-0.022
1042.92,-0.001
1043.34,0.089
1043.76,0.225
1044.18,0.128
1044.61,-0.075
1045.03,0.142
1045.45,-0.152
1045.87,-0.4
1046.29,0.204
1046.72,0.211
1047.14,-0.088
1047.56,0.27
1047.98,0.19
1048.4,0.094
1048.82,-0.382
1049.25,-0.028
1049.67,-0.001
1050.09,0.144
1050.51,-0.001
1050.93,-0.214
1051.35,-0.239
1051.78,-0.02
1052.2,0.126
1052.62,-0.022
1053.04,0.171
1053.46,0.248
1053.88,0.067
1054.3,-0.166
1054.73,-0.08
1055.15,-0.031
1055.57,3.627
1055.99,0.365
1056.41,0.093
1056.83,-0.039
1057.25,-0.355
1057.68,0.065
1058.1,-0.136
1058.52,-0.045
1058.94,0.253
1059.36,-0.076
1059.78,0.062
1060.2,0.519
1060.62,-0.002
1061.04,0.124
1061.46,0.233
1061.89,-0.409
1062.31,2.347
1062.73,1.092
1063.15,-0.002
1063.57,0.377
1063.99,-0.002
1064.41,-0.793
1064.83,0.17
1065.25,0.173
1065.67,-0.002
1066.09,-0.153
1066.51,-1.509
1066.94,-1.768
1067.36,-0.467
1067.78,-5.251
1068.2,-0.606
1068.62,-0.336
1069.04,0.683
1069.46,0.104
1069.88,0.296
1070.3,0.274
1070.72,-0.232
1071.14,-1.204
1071.56,-0.187
1071.98,-0.924
1072.4,0.453
1072.82,-0.085
1073.24,-0.012
1073.66,-0.406
1074.08,0.092
1074.5,0.605
1074.92,0.894
1075.34,0.847
1075.76,0.306
1076.18,0.218
1076.6,-0.459
1077.02,-1.546
1077.44,-0.901
1077.86,-9.755
1078.28,0.429
1078.7,-0.513
1079.12,10.448
1079.54,1.308
1079.96,0.731
1080.38,1.454
1080.8,0.92
1081.22,0.305
1081.64,-0.35
1082.06,-0.71
1082.48,0.305
1082.9,0.272
1083.32,0.114
1083.74,-0.341
1084.16,-0.156
1084.58,3.247
1085,0.861
1085.42,0.472
1085.84,-0.302
1086.25,0.6
1086.67,0.151
1087.09,-0.119
1087.51,0.004
1087.93,6.079
1088.35,1.724
1088.77,-0.914
1089.19,-0.461
1089.61,-0.166
1090.03,-1.735
1090.45,0.545
1090.87,0.345
1091.29,0.363
1091.7,0.184
1092.12,-2.928
1092.54,0.425
1092.96,1.567
1093.38,-3.187
1093.8,-0.679
1094.22,1.182
1094.64,-0.278
1095.06,-0.006
1095.47,0.984
1095.89,-0.903
1096.31,1.867
1096.73,1.016
1097.15,-0.864
1097.57,-5.044
1097.99,0.492
1098.41,-0.3
1098.82,0.491
1099.24,-0.243
1099.66,0.688
1100.08,0.26
1100.5,0.815
1100.92,-0.004
