LGOROWLENGTH	4
CREATED	"2013/07/19"  # Time: 22:45
INSTRUMENTATION	"Unknown"
MEASUREMENT_SOURCE	"Illumination=Unknown	ObserverAngle=Unknown	WhiteBase=Abs	Filter=Unknown"
QUANTITY	"TRANSMITTANCE"
KEYWORD	"Model"
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
KEYWORD	"Substrate"
KEYWORD	"RefractiveIndex"
KEYWORD	"Thickness"
NUMBER_OF_FIELDS	26
BEGIN_DATA_FORMAT
Model	SampleID	SAMPLE_NAME	Substrate	RefractiveIndex	Thickness	nm360	nm380	nm400	nm420	nm440	nm460	nm480	nm500	nm520	nm540	nm560	nm580	nm600	nm620	nm640	nm660	nm680	nm700	nm720	nm740
END_DATA_FORMAT
NUMBER_OF_SETS	42
Roscolux	0389	ChromaGreen	PC	1.585	76.2	0.04	0.04	0.03	0	0	0.03	0.45	0.77	0.72	0.55	0.32	0.18	0.11	0.07	0.07	0.07	0.05	0.07	0.06	0.14
Roscolux	3220	DoubleBlueCTB	PET	1.575	50	0.23	0.31	0.40	0.53	0.53	0.41	0.27	0.18	0.11	0.10	0.06	0.07	0.05	0.03	0.02	0.02	0.04	0.15	0.42	0.67
Roscolux	4215	CalColor15Blue	PET	1.575	50	0.62	0.69	0.74	0.75	0.75	0.72	0.68	0.63	0.56	0.54	0.49	0.49	0.49	0.48	0.48	0.56	0.73	0.82	0.84	0.85
Roscolux	4230	CalColor30Blue	PET	1.575	50	0.57	0.68	0.72	0.73	0.71	0.65	0.57	0.50	0.40	0.37	0.31	0.30	0.30	0.29	0.27	0.39	0.63	0.79	0.83	0.85
Roscolux	4260	CalColor60Blue	PET	1.575	50	0.47	0.58	0.66	0.67	0.62	0.52	0.40	0.30	0.20	0.17	0.12	0.12	0.13	0.12	0.11	0.22	0.51	0.73	0.80	0.82
Roscolux	4290	CalColor90Blue	PET	1.575	50	0.39	0.52	0.62	0.63	0.54	0.40	0.26	0.16	0.08	0.06	0.03	0.03	0.03	0.03	0.03	0.11	0.48	0.74	0.81	0.83
Roscolux	4315	CalColor15Cyan	PET	1.575	50	0.61	0.68	0.71	0.73	0.74	0.76	0.79	0.79	0.79	0.78	0.75	0.71	0.66	0.59	0.53	0.49	0.47	0.51	0.64	0.76
Roscolux	4690	CalColor90Red	PET	1.575	50	0.39	0.40	0.18	0.04	0.01	0.05	0.18	0.13	0.09	0.07	0.10	0.17	0.52	0.77	0.83	0.84	0.85	0.86	0.86	0.86
Roscolux	4715	CalColor15Magenta	PET	1.575	50	0.66	0.73	0.76	0.78	0.76	0.72	0.67	0.60	0.55	0.52	0.55	0.59	0.71	0.76	0.77	0.79	0.83	0.85	0.86	0.86
Roscolux	4815	CalColor15Pink	PET	1.575	50	0.67	0.72	0.72	0.69	0.66	0.66	0.67	0.61	0.57	0.55	0.59	0.64	0.78	0.83	0.84	0.84	0.84	0.84	0.84	0.85
Roscolux	4830	CalColor30Pink	PET	1.575	50	0.62	0.69	0.66	0.57	0.50	0.49	0.52	0.43	0.36	0.34	0.39	0.47	0.70	0.81	0.83	0.83	0.83	0.83	0.84	0.84
Roscolux	4860	CalColor60Pink	PET	1.575	50	0.55	0.63	0.57	0.43	0.34	0.33	0.37	0.27	0.20	0.18	0.22	0.31	0.62	0.80	0.83	0.83	0.83	0.83	0.83	0.83
Roscolux	4890	CalColor90Pink	PET	1.575	50	0.47	0.56	0.45	0.28	0.18	0.18	0.23	0.14	0.09	0.07	0.10	0.18	0.53	0.77	0.82	0.82	0.82	0.82	0.83	0.83
E-Colour	0156	Chocolate	PET	1.575	75	0.11	0.16	0.19	0.19	0.17	0.12	0.10	0.12	0.20	0.25	0.26	0.25	0.27	0.37	0.40	0.35	0.31	0.51	0.70	0.78
E-Colour	0238	CSItoTungsten	PET	1.575	75	0.17	0.25	0.33	0.32	0.29	0.29	0.33	0.35	0.32	0.30	0.27	0.36	0.54	0.64	0.71	0.76	0.83	0.87	0.87	0.89
E-Colour	0742	BramBrown	PET	1.575	75	0.02	0.07	0.02	0.02	0.02	0.04	0.07	0.12	0.11	0.10	0.10	0.13	0.15	0.16	0.20	0.25	0.30	0.59	0.78	0.81
END_DATA


