#   EBU TECH 3355. 
#   METHOD FOR THE ASSESSMENT OF THE COLORIMETRIC PROPERTIES OF LUMINAIRES.
#   THE TELEVISION LIGHTING CONSISTENCY INDEX (TLCI-2012) AND THE TELEVISION LUMINAIRE MATCHING FACTOR (TLMF-2013).
#   Appendix 5.  EBU standard camera curves - 2012

Wavelength	red	green	blue
380	0	0	0
385	0	0	0.000215
390	0	0	0.000649
395	0	0	0.001397
400	0	0	0.003902
405	0	0	0.007905
410	0.00045	0.00011	0.014223
415	0.001	0.000211	0.021958
420	0.00123	0.000321	0.029294
425	0.0013	0.000482	0.036253
430	0.0013	0.000562	0.042739
435	0.00119	0.000633	0.048916
440	0.00112	0.000753	0.055513
445	0.00104	0.000934	0.061881
450	0.00093	0.001175	0.068628
455	0.00086	0.001386	0.073179
460	0.00082	0.001777	0.075694
465	0.00082	0.002239	0.077461
470	0.00089	0.002902	0.07801
475	0.00089	0.003555	0.074377
480	0.00097	0.004488	0.066582
485	0.00089	0.006175	0.053601
490	0.00089	0.010664	0.036619
495	0.00089	0.021297	0.022597
500	0.00093	0.036343	0.012366
505	0.00104	0.046681	0.008274
510	0.00112	0.054634	0.006138
515	0.00134	0.059594	0.004461
520	0.00149	0.062114	0.003254
525	0.00171	0.063761	0.002455
530	0.00179	0.065066	0.001996
535	0.00167	0.066341	0.001707
540	0.00141	0.067426	0.001407
545	0.00115	0.068018	0.001228
550	0.00112	0.068109	0.000998
555	0.00119	0.066994	0.000928
560	0.00171	0.06353	0.000779
565	0.00592	0.054222	0.000599
570	0.01563	0.041319	0.000489
575	0.03231	0.02521	0.000369
580	0.05431	0.013264	0.000329
585	0.06733	0.00735	0.00026
590	0.07283	0.004418	0.00019
595	0.07306	0.002611	0.00011
600	0.07165	0.001707	7E-05
605	0.06864	0.001084	0
610	0.0638	0.000482	0
615	0.05926	3E-05	0
620	0.0546	1.1E-05	0
625	0.04939	8E-06	0
630	0.04437	6E-06	0
635	0.03957	3E-06	0
640	0.03454	0	0
645	0.02944	0	0
650	0.02503	0	0
655	0.02103	0	0
660	0.0179	0	0
665	0.01496	0	0
670	0.01217	0	0
675	0.00971	0	0
680	0.00774	0	0
685	0.00588	0	0
690	0.00435	0	0
695	0.0029	0	0
700	0.002	0	0
705	0.00134	0	0
710	0.00095	0	0
715	0.00071	0	0
720	0.00053	0	0
725	0.00044	0	0
730	0.00031	0	0
735	0.00019	0	0
740	6E-05	0	0
745	0	0	0
750	0	0	0
755	0	0	0
760	0	0	0
