#
#   Image Orthicon
#   RCA     5820-A      1963
#
Wavelength  Gray
300         0
320         10
340         40
360         66
380         81
400         91.5
420         97
440         99.5
460         99.5
480         96
500         92
520         86
540         78.5
560         69
580         57.5
600         46
620         35
640         26
660         19
680         13
700         8
720         4
740         2
760         1
780         0.5
800         0
