IT8.7/1
ORIGINATOR	"Wolf Faust"
DESCRIPTOR	"Velvia 100, 100F, Astia 100F, Provia 400X and Sensia 100 (Emul. 687 or higher), Type 3, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER	"Wolf Faust - http://www.coloraid.de"
CREATED	"May 04, 2013"
DIFFUSE_GEOMETRY	"opal"
SERIAL	"N130501 Batch Average Data"
MATERIAL	"Fujichrome Velvia 100(F) + Provia 400X + Sensia 100 + Astia 100F (N3)"
Note: XYZ/Lab/LCh data was calculated from the spectral data below and may differ from mean XYZ/Lab/LCh data provided elsewhere.
ID	Name	X	Y	Z	L	a	b	C	h	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm
11	A11  	 30.56	 25.57	 17.30	 57.63	 23.55	  8.13	 24.91	 19.04	0.00591140	0.01281257	0.07837555	0.16901795	0.19082482	0.18198000	0.17371357	0.17662669	0.19577269	0.23194028	0.27830337	0.31089099	0.30776590	0.27570565	0.23571131	0.19827554	0.16830995	0.15047873	0.14982452	0.17221830	0.22356741	0.29950208	0.37843492	0.43556418	0.46508666	0.47627454	0.48588150	0.50612974	0.53417259	0.56969329	0.61533017	0.66812370	0.72238960	0.76933305	0.80865396	0.83871064	0.86354061	0.88185180	0.89735008	0.90828368	0.91943480
12	A12  	 35.16	 26.39	 16.12	 58.41	 36.48	 12.24	 38.48	 18.56	0.00516143	0.01214487	0.07618279	0.16317417	0.18188229	0.17123641	0.16189806	0.16387533	0.18186015	0.21646918	0.26056190	0.29021016	0.28366358	0.24871132	0.20762804	0.17145540	0.14395373	0.12853164	0.13013975	0.15618957	0.21667054	0.31290867	0.42448634	0.51961040	0.58487827	0.62831118	0.66994928	0.72100940	0.76872194	0.80408958	0.82905516	0.84750422	0.86314277	0.87528875	0.88700578	0.89618809	0.90575156	0.91285480	0.92023693	0.92536128	0.93225155 
13	A13  	 69.79	 74.28	 60.46	 89.06	 -3.89	  0.83	  3.98	 167.99	0.02228212	0.03594237	0.18772159	0.45464314	0.60686079	0.67798573	0.71531213	0.73775954	0.75738774	0.77061441	0.77933119	0.78309322	0.77769943	0.77378769	0.77482392	0.76652002	0.75451566	0.75074965	0.74713048	0.73449910	0.71934132	0.71536330	0.72058071	0.71910096	0.70756825	0.69383833	0.69428723	0.71635184	0.74572013	0.77339833	0.80050833	0.82715411	0.85284473	0.87335439	0.89091809	0.90346875	0.91472573	0.92239762	0.92974938	0.93423242	0.93965598
14	A14  	 70.21	 71.23	 59.99	 87.60	  3.28	 -1.22	  3.50	 339.58	0.02192739	0.03613646	0.18846949	0.45674777	0.60922814	0.67961064	0.71549070	0.73619015	0.75367789	0.76399846	0.76862024	0.76647048	0.75294510	0.73814493	0.72687196	0.70723746	0.68576020	0.67562159	0.67336301	0.67386775	0.68227398	0.70587382	0.73684901	0.75681956	0.76281519	0.76466389	0.78085196	0.81803931	0.85642253	0.88251259	0.89746670	0.90635743	0.91365082	0.91857203	0.92428152	0.92826466	0.93325798	0.93631414	0.94026951	0.94219195	0.94585031 
15	A15  	 73.74	 76.91	 59.17	 90.28	 -0.87	  4.23	  4.32	 101.64	0.02145578	0.03528383	0.18521958	0.44677974	0.59277758	0.65908384	0.69327783	0.71522096	0.73730258	0.75622331	0.77221779	0.78227970	0.78098754	0.77960557	0.78240237	0.77535714	0.76502374	0.76384487	0.76348993	0.75514796	0.74691674	0.75346578	0.77135569	0.78218427	0.78169629	0.77911164	0.79243411	0.82802688	0.86551873	0.89107390	0.90566790	0.91435004	0.92138226	0.92597789	0.93121635	0.93457548	0.93883005	0.94119182	0.94444803	0.94579745	0.94874639
16	A16  	 70.45	 73.13	 60.01	 88.51	 -0.14	  0.34	  0.37	 112.91	0.02197845	0.03579407	0.18763937	0.45431577	0.60591904	0.67615301	0.71231951	0.73367274	0.75226803	0.76428053	0.77151598	0.77321578	0.76464649	0.75628066	0.75215782	0.73903535	0.72298310	0.71663459	0.71435220	0.70887080	0.70587360	0.71601600	0.73462684	0.74444633	0.74215060	0.73684115	0.74593564	0.77640630	0.81078353	0.83743810	0.85730132	0.87349247	0.88810625	0.89926817	0.90962280	0.91701957	0.92453156	0.92951328	0.93492854	0.93801164	0.94239184
17	A17  	 69.06	 70.11	 56.78	 87.05	  3.18	  1.11	  3.37	 19.19	0.02075412	0.03434567	0.18052437	0.43475010	0.57542128	0.63778415	0.66888297	0.68857948	0.70878279	0.72582039	0.73921433	0.74477230	0.73620033	0.72404472	0.71410403	0.69490451	0.67328789	0.66284970	0.66095218	0.66277984	0.67327404	0.69894501	0.73139969	0.75238098	0.75891449	0.76116987	0.77755498	0.81470993	0.85303854	0.87911988	0.89432514	0.90364684	0.91120813	0.91644619	0.92240586	0.92667365	0.93182475	0.93495995	0.93897958	0.94111814	0.94492065
18	A18  	 70.25	 74.57	 58.17	 89.19	 -3.51	  3.37	  4.87	 136.15	0.02117051	0.03465793	0.18201283	0.43865366	0.58212600	0.64726437	0.68100698	0.70273919	0.72465704	0.74347349	0.75957617	0.76997465	0.76928878	0.76854459	0.77188993	0.76517652	0.75423205	0.75164737	0.74935788	0.73814037	0.72492439	0.72353675	0.73164950	0.73280346	0.72349325	0.71199165	0.71503328	0.73972713	0.77063249	0.79769860	0.82200585	0.84478910	0.86633375	0.88339828	0.89811100	0.90868668	0.91838606	0.92502058	0.93162934	0.93552367	0.94053049 
19	A19  	 64.56	 67.27	 58.58	 85.64	 -0.68	 -3.17	  3.24	 257.81	0.02201053	0.03538789	0.18408136	0.44581761	0.59479345	0.66382184	0.69907148	0.71946023	0.73640415	0.74597560	0.74987402	0.74733861	0.73369553	0.71885412	0.70746887	0.68756741	0.66493977	0.65233800	0.64693612	0.64305943	0.64423719	0.65627268	0.67252629	0.67771941	0.67014876	0.65865194	0.65909738	0.67945696	0.70751537	0.73575561	0.76547265	0.79620900	0.82636677	0.85125588	0.87242885	0.88821736	0.90205703	0.91203583	0.92115775	0.92715321	0.93391467
20	A20  	  5.53	  2.53	  1.41	 18.03	 46.08	  7.15	 46.63	  8.82	0.00059204	0.00226539	0.01667858	0.03052663	0.02710915	0.02014803	0.01590413	0.01466181	0.01589022	0.01881379	0.02085956	0.01786363	0.01062487	0.00457916	0.00176142	0.00080341	0.00047162	0.00036321	0.00046007	0.00101667	0.00385605	0.01457860	0.04139637	0.08266510	0.12382588	0.15296519	0.17069428	0.18555168	0.20524775	0.23838374	0.29259652	0.36929548	0.46144981	0.55430063	0.63812004	0.70732939	0.76358038	0.80643839	0.84038771	0.86523791	0.88684829 
21	A21  	 24.35	 16.84	 12.36	 48.06	 39.91	  4.23	 40.14	  6.05	0.00419493	0.01027586	0.06452476	0.13631780	0.14912451	0.13762278	0.12800655	0.12828990	0.14146122	0.16720290	0.19788468	0.21221874	0.19427353	0.15564349	0.11819582	0.09035745	0.07164366	0.06152642	0.06251817	0.08023643	0.12467346	0.20111311	0.29501711	0.37686190	0.43046563	0.46020100	0.48288053	0.51198301	0.54588280	0.58449935	0.63061989	0.68199794	0.73329248	0.77720119	0.81359086	0.84161711	0.86482615	0.88235193	0.89700395	0.90773951	0.91862371
22	A22  	 49.84	 45.94	 30.40	 73.50	 15.49	 10.95	 18.97	 35.26	0.01037326	0.02012767	0.11638349	0.26319767	0.31769375	0.32319079	0.32161327	0.32982235	0.35635494	0.40061262	0.45416979	0.49375654	0.49943910	0.47869508	0.44733761	0.40914739	0.37316881	0.35133889	0.35052348	0.37518570	0.42854237	0.50401288	0.58106173	0.63687900	0.66804120	0.68632752	0.71121263	0.75135168	0.79151615	0.82110475	0.84170730	0.85729343	0.87083936	0.88169008	0.89243079	0.90101297	0.90988430	0.91658314	0.92336934	0.92835596	0.93442884
23	B1   	  2.60	  2.39	  1.40	 17.40	  5.89	  6.19	  8.55	 46.41	0.00133204	0.00220267	0.01109986	0.01836763	0.01486896	0.01048652	0.00840080	0.00856266	0.01142687	0.01868679	0.03210313	0.04605100	0.04877039	0.03943076	0.02769635	0.01895437	0.01328257	0.01003171	0.00928554	0.01178289	0.01870874	0.02926093	0.03813771	0.04135853	0.04030299	0.03719188	0.03385339	0.03204057	0.03382467	0.04218851	0.06221118	0.10155964	0.16782049	0.25974615	0.36728187	0.47614760	0.57623494	0.66046493	0.72945514	0.78301163	0.82665321
24	B2   	  2.95	  2.29	  0.84	 16.96	 14.31	 13.51	 19.68	 43.36	0.00068791	0.00135700	0.00743535	0.01143358	0.00838976	0.00539054	0.00409106	0.00416212	0.00589047	0.01057407	0.02025511	0.03163603	0.03542752	0.02942699	0.02081941	0.01425898	0.01004557	0.00765218	0.00733195	0.00998723	0.01752430	0.03041560	0.04376953	0.05136038	0.05302065	0.05085191	0.04758932	0.04599380	0.04870853	0.05970878	0.08474426	0.13150101	0.20548217	0.30246221	0.41054686	0.51580245	0.61008594	0.68773560	0.75073523	0.79903723	0.83873746
25	B3   	  3.43	  2.27	  0.51	 16.84	 22.84	 19.40	 29.97	 40.34	0.00062133	0.00095965	0.00497511	0.00719678	0.00486432	0.00285362	0.00204232	0.00210862	0.00313276	0.00604218	0.01269570	0.02137359	0.02490068	0.02090565	0.01469413	0.00995936	0.00699242	0.00538012	0.00533445	0.00790990	0.01558815	0.03046749	0.04873526	0.06235424	0.06839412	0.06854927	0.06624866	0.06543660	0.06974012	0.08409399	0.11503319	0.16948344	0.25075054	0.35123538	0.45800675	0.55806719	0.64553752	0.71608518	0.77281791	0.81565072	0.85119816
26	B4   	  4.03	  2.35	  0.19	 17.23	 30.31	 26.03	 39.95	 40.67	0.00037588	0.00039455	0.00199575	0.00239628	0.00121134	0.00053231	0.00031267	0.00035007	0.00072805	0.00173886	0.00472535	0.01012279	0.01405707	0.01326917	0.01004540	0.00712110	0.00509406	0.00401192	0.00416797	0.00663559	0.01441175	0.03108375	0.05425114	0.07447881	0.08597312	0.08926582	0.08852844	0.08918220	0.09554167	0.11360895	0.15041207	0.21190063	0.29870808	0.40052733	0.50421154	0.59799185	0.67822317	0.74164961	0.79249051	0.83046341	0.86210921
27	B5   	 10.51	  9.48	  5.60	 36.89	 10.85	  9.62	 14.50	 41.55	0.00234725	0.00561103	0.03279416	0.06247014	0.06040391	0.05007618	0.04405907	0.04498440	0.05456485	0.07614111	0.10969628	0.14014730	0.14602160	0.12750195	0.10162413	0.07887750	0.06181776	0.05135541	0.04930598	0.05833955	0.08115080	0.11394593	0.14314522	0.15758795	0.15898406	0.15334187	0.14681645	0.14518701	0.15238665	0.17408032	0.21677578	0.28414127	0.37351424	0.47226910	0.56819912	0.65179863	0.72147948	0.77567098	0.81837857	0.85003422	0.87663545
28	B6   	 12.61	  9.66	  3.62	 37.23	 24.35	 21.25	 32.32	 41.12	0.00110469	0.00365370	0.02359722	0.04261358	0.03806975	0.02930055	0.02465608	0.02515861	0.03190613	0.04810543	0.07599343	0.10449130	0.11384204	0.10110600	0.08065125	0.06246503	0.04900397	0.04109558	0.04075879	0.05161595	0.07925711	0.12415713	0.17294740	0.20749594	0.22314949	0.22553562	0.22402070	0.22749964	0.24053346	0.26911567	0.31917361	0.39139827	0.47949411	0.56913920	0.65079047	0.71829712	0.77311095	0.81480129	0.84778477	0.87190505	0.89280176
29	B7   	 15.15	 10.05	  2.13	 37.93	 37.36	 33.85	 50.41	 42.17	0.00053617	0.00207329	0.01534216	0.02593558	0.02099951	0.01480909	0.01183739	0.01204015	0.01609813	0.02688483	0.04772222	0.07232574	0.08389230	0.07670883	0.06166692	0.04783329	0.03764036	0.03188793	0.03265970	0.04422828	0.07477059	0.13005351	0.19948583	0.25927122	0.29626211	0.31343737	0.32306707	0.33709908	0.35950661	0.39534960	0.44932025	0.51936136	0.59735682	0.67017103	0.73265435	0.78180665	0.82114113	0.85051972	0.87423456	0.89127661	0.90701278
30	B8   	 20.48	 10.76	  0.77	 39.17	 60.52	 52.92	 80.40	 41.17	0.00024293	0.00031444	0.00664372	0.01012502	0.00689691	0.00407285	0.00293047	0.00297904	0.00446085	0.00877343	0.01864814	0.03232708	0.03984935	0.03626837	0.02797713	0.02081977	0.01597927	0.01354738	0.01486062	0.02385043	0.05134685	0.11433123	0.21757493	0.33628852	0.43981518	0.51893023	0.58621584	0.65356609	0.71307913	0.75877538	0.79344851	0.82070027	0.84355494	0.86097335	0.87623242	0.88789122	0.89917922	0.90766360	0.91624592	0.92196758	0.92965295
31	B9   	 31.02	 31.06	 23.03	 62.56	  3.97	  4.76	  6.20	 50.13	0.00834077	0.01626749	0.09323895	0.20592006	0.24156123	0.23934524	0.23454202	0.24070979	0.26463803	0.30691815	0.36010512	0.40024488	0.40529324	0.38102086	0.34510159	0.30484058	0.26799039	0.24342814	0.23684845	0.25139844	0.28668655	0.33255078	0.36967106	0.38490105	0.38193253	0.37031471	0.36171151	0.36499110	0.38067422	0.41183096	0.46227049	0.52955097	0.60571574	0.67735514	0.73940188	0.78805697	0.82717425	0.85577607	0.87890153	0.89532866	0.91018181
32	B10  	 33.15	 31.38	 20.27	 62.83	 10.49	 10.65	 14.95	 45.45	0.00699035	0.01473431	0.08574815	0.18607455	0.21311964	0.20667559	0.19984511	0.20487195	0.22789504	0.27059153	0.32656348	0.37151366	0.38135389	0.36013787	0.32592259	0.28741824	0.25266799	0.23037291	0.22666742	0.24600866	0.29020253	0.35039322	0.40546666	0.43721646	0.44599212	0.44215652	0.44023493	0.45072487	0.47208384	0.50544898	0.55377656	0.61383375	0.67851820	0.73641569	0.78527292	0.82266874	0.85281760	0.87479960	0.89296763	0.90573750	0.91794756
33	B11  	 34.83	 31.34	 17.92	 62.79	 16.46	 15.63	 22.70	 43.53	0.00612780	0.01328426	0.07863254	0.16830225	0.18870807	0.17934965	0.17135778	0.17547460	0.19735918	0.23930309	0.29629830	0.34420817	0.35746003	0.33854952	0.30570639	0.26883177	0.23599334	0.21550708	0.21395731	0.23686535	0.28795201	0.36008855	0.43130096	0.47927612	0.50106395	0.50699338	0.51404787	0.53367126	0.56170570	0.59668387	0.64090951	0.69148317	0.74319129	0.78724985	0.82376286	0.85109752	0.87364972	0.88997142	0.90404430	0.91372917	0.92384720
34	B12  	 39.19	 32.17	 14.40	 63.48	 27.78	 25.28	 37.56	 42.31	0.00402900	0.01060985	0.06735006	0.14023939	0.15094379	0.13805629	0.12892748	0.13192998	0.15172233	0.19205452	0.25024527	0.30311126	0.32247097	0.30767250	0.27713285	0.24255000	0.21229879	0.19438044	0.19593640	0.22439794	0.28736050	0.38161886	0.48453521	0.56712847	0.62066417	0.65542746	0.69178145	0.74008402	0.78630417	0.82043254	0.84423194	0.86167261	0.87625458	0.88712678	0.89737180	0.90511955	0.91326612	0.91934809	0.92583426	0.93002901	0.93597662
35	B13  	 61.87	 68.14	 58.66	 86.08	 -8.74	 -2.49	  9.09	 195.91	0.02187188	0.03528295	0.18135266	0.43887436	0.58649402	0.65631539	0.69318256	0.71564083	0.73554148	0.74931106	0.75834072	0.76178058	0.75483736	0.74790920	0.74498319	0.73175292	0.71344079	0.70233427	0.69200581	0.67411148	0.65296460	0.63863229	0.62870647	0.61145501	0.58654477	0.56097508	0.54769219	0.55468662	0.57496735	0.60548443	0.64796981	0.69910415	0.75244149	0.79839093	0.83610066	0.86384570	0.88603203	0.90146376	0.91444269	0.92303683	0.93150740
36	B14  	 62.05	 59.63	 56.87	 81.64	 10.82	 -8.32	 13.65	 322.46	0.02145859	0.03484811	0.18220473	0.44142983	0.58891301	0.65633378	0.68921900	0.70651984	0.71969537	0.72403227	0.71965416	0.70493303	0.67467586	0.63924492	0.60649960	0.56879081	0.53281525	0.51165372	0.50836314	0.52276112	0.55692415	0.60837994	0.66195460	0.69780150	0.71386701	0.72155915	0.73999374	0.77732438	0.81640354	0.84562104	0.86596378	0.88121413	0.89422726	0.90364318	0.91245642	0.91864612	0.92531089	0.92986795	0.93498182	0.93801696	0.94244984
37	B15  	 68.56	 72.43	 46.16	 88.17	 -2.75	 14.82	 15.07	 100.51	0.01634360	0.02845037	0.15399977	0.36046284	0.45899031	0.49151826	0.50605096	0.52296890	0.55416007	0.59821183	0.64971692	0.69355151	0.71685001	0.72934469	0.73835074	0.73325676	0.72178032	0.71818732	0.71779342	0.71334254	0.71111597	0.72229481	0.74210406	0.75290397	0.75138756	0.74690493	0.75729981	0.78939010	0.82515378	0.85243621	0.87198433	0.88726227	0.90061585	0.91042712	0.91925149	0.92531887	0.93136681	0.93516959	0.93951760	0.94195708	0.94561508
38	B16  	 52.46	 54.68	 45.11	 78.86	 -0.67	  0.01	  0.67	 178.91	0.01696793	0.02814112	0.15134551	0.35740289	0.46022612	0.49728508	0.51361908	0.52878011	0.55346892	0.58451151	0.61633684	0.63577711	0.63169881	0.61402789	0.59242833	0.56097431	0.52721258	0.50491351	0.49678991	0.50137145	0.51880853	0.54559795	0.56928076	0.57607041	0.56722825	0.55224310	0.54614191	0.55800635	0.58143477	0.61336747	0.65553339	0.70499677	0.75591386	0.79949792	0.83526306	0.86182115	0.88319642	0.89858011	0.91148187	0.92038843	0.92906382
39	B17  	 58.99	 57.45	 44.20	 80.43	  8.82	  3.83	  9.62	 23.48	0.01620481	0.02794488	0.15168657	0.35645162	0.45527396	0.48800421	0.50117780	0.51489223	0.53988344	0.57309188	0.60781775	0.62920410	0.62506343	0.60517726	0.58077391	0.54756250	0.51388204	0.49377896	0.49141055	0.50751827	0.54411205	0.59809971	0.65379033	0.69137538	0.70868208	0.71715285	0.73596198	0.77324063	0.81219371	0.84126964	0.86169682	0.87703088	0.89045002	0.90037352	0.90963670	0.91636988	0.92329784	0.92811898	0.93343908	0.93670913	0.94135472
40	B18  	 59.72	 66.97	 46.87	 85.49	-11.25	  9.35	 14.63	 140.24	0.01721045	0.02892743	0.15349354	0.36093560	0.46369018	0.50080310	0.51847064	0.53661306	0.56683299	0.60740067	0.65357093	0.69208571	0.71131471	0.72118772	0.72836384	0.72120487	0.70626541	0.69702552	0.68813073	0.67151210	0.65155536	0.63829059	0.62920326	0.61243263	0.58778841	0.56242264	0.54935414	0.55644649	0.57664122	0.60696125	0.64907883	0.69973747	0.75247884	0.79797010	0.83528320	0.86304165	0.88516401	0.90078032	0.91366111	0.92234255	0.93078131
41	B19  	 54.74	 56.32	 56.20	 79.80	  1.11	-10.80	 10.86	 275.88	0.02137346	0.03460348	0.17815289	0.43162807	0.57709369	0.64494163	0.67904234	0.69759308	0.71145393	0.71635659	0.71296233	0.70021750	0.67330372	0.64216582	0.61345051	0.57839028	0.54290405	0.51972741	0.51046103	0.51293128	0.52723897	0.55043571	0.57088961	0.57528642	0.56481654	0.54883943	0.54179758	0.55246870	0.57459726	0.60550231	0.64699701	0.69608469	0.74700908	0.79108156	0.82781262	0.85542038	0.87801261	0.89427010	0.90810518	0.91764478	0.92704826
42	B20  	  3.89	  2.31	  0.73	 17.04	 29.13	 15.53	 33.01	 28.06	0.00064468	0.00137154	0.00783790	0.01220335	0.00906941	0.00588854	0.00438878	0.00436152	0.00588172	0.00990831	0.01732921	0.02427875	0.02394174	0.01722408	0.01067761	0.00666712	0.00446449	0.00339646	0.00346980	0.00558285	0.01247742	0.02783540	0.05005165	0.07026429	0.08228184	0.08615928	0.08586748	0.08666541	0.09313535	0.11111152	0.14768524	0.20911156	0.29618209	0.39877048	0.50335557	0.59809239	0.67888558	0.74272294	0.79357701	0.83131174	0.86271829
43	B21  	 15.13	  9.89	  3.49	 37.65	 38.40	 22.84	 44.68	 30.74	0.00069734	0.00369534	0.02451369	0.04453507	0.04000638	0.03082444	0.02584599	0.02602251	0.03231997	0.04733628	0.07172594	0.09376234	0.09616436	0.07980822	0.05981516	0.04434009	0.03400413	0.02843661	0.02907391	0.03996986	0.06932166	0.12381779	0.19406737	0.25608684	0.29550667	0.31433922	0.32502037	0.33973028	0.36263502	0.39870437	0.45274213	0.52254320	0.59988568	0.67196721	0.73357092	0.78227956	0.82120818	0.85047827	0.87392399	0.89095591	0.90653664
44	B22  	 30.78	 25.78	 14.80	 57.83	 23.52	 14.51	 27.63	 31.68	0.00508172	0.01134701	0.06943941	0.14636089	0.16049502	0.14911442	0.14028623	0.14298395	0.16171029	0.19865183	0.24905226	0.28962907	0.29563130	0.27066154	0.23482082	0.19935754	0.17021219	0.15276364	0.15252173	0.17562528	0.22801198	0.30560404	0.38662143	0.44575810	0.47683189	0.48929312	0.50042992	0.52214268	0.55125534	0.58697601	0.63162950	0.68262644	0.73447047	0.77916091	0.81615505	0.84461179	0.86800470	0.88543274	0.90018878	0.91084453	0.92141560
