IT8.7/1
ORIGINATOR	"Wolf Faust"
DESCRIPTOR	"Ektachrome, Type 3, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER	"Wolf Faust - http://www.coloraid.de"
CREATED	"November 16, 2013"
DIFFUSE_GEOMETRY	"opal"
SERIAL	"E131102 Batch Average Data"
MATERIAL	"For Kodak Ektachrome Product Family (K3)"
Note: XYZ/Lab/LCh data was calculated from the spectral data below and may differ from mean XYZ/Lab/LCh data provided elsewhere.
ID	Name	X	Y	Z	L	a	b	C	h	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm
11	A11  	 33.36	 28.20	 18.88	 60.07	 23.13	  8.83	 24.75	 20.90	0.01186652	0.03104188	0.11104899	0.20234918	0.22094127	0.20655985	0.19928087	0.20663773	0.22374204	0.24843268	0.27538102	0.29307525	0.29037805	0.27064860	0.24425359	0.21643463	0.19583067	0.18768164	0.19308196	0.21574946	0.26353284	0.33592503	0.41057552	0.46575244	0.49675042	0.50920005	0.51114303	0.50945253	0.50923248	0.51375941	0.52438443	0.54204827	0.56627151	0.59632511	0.63103760	0.66937140	0.70952464	0.74938061	0.78733259	0.82176623	0.85322483
12	A12  	 38.09	 28.40	 17.08	 60.25	 38.21	 13.15	 40.41	 19.00	0.01101612	0.03070865	0.10879276	0.19464323	0.20793841	0.19042794	0.18153139	0.18769596	0.20289768	0.22459179	0.24738944	0.26032981	0.25330062	0.23034589	0.20240818	0.17566625	0.15787005	0.15286870	0.16202697	0.19065515	0.25054172	0.34694051	0.45911561	0.55925299	0.63481392	0.68578984	0.71719292	0.73498360	0.74471399	0.75050854	0.75470035	0.75961508	0.76638918	0.77591833	0.78826363	0.80362762	0.82121778	0.84023167	0.85942389	0.87765632	0.89575490 
13	A13  	 72.24	 77.04	 61.29	 90.34	 -4.24	  2.22	  4.79	 152.30	0.03199677	0.06831333	0.24866688	0.51309089	0.64840842	0.69422711	0.71962555	0.74195439	0.76080955	0.77603713	0.78903443	0.79653866	0.79329388	0.79219762	0.80050215	0.79963556	0.79008495	0.77885310	0.76513210	0.75313337	0.75292415	0.76615136	0.77175348	0.76189070	0.74396582	0.72382860	0.70470659	0.68867477	0.67743691	0.67195457	0.67220084	0.67852471	0.69034228	0.70719827	0.72821984	0.75277200	0.77948017	0.80694519	0.83372068	0.85859513	0.88112797
14	A14  	 77.46	 78.71	 60.72	 91.10	  3.17	  4.09	  5.18	 52.28	0.03163047	0.06955467	0.25252411	0.51796820	0.65070830	0.69288953	0.71574087	0.73672705	0.75402284	0.76712407	0.77760151	0.78241848	0.77621019	0.77185194	0.77684087	0.77396991	0.76522014	0.75866272	0.75434312	0.75661980	0.77618019	0.81373733	0.84481846	0.85847247	0.86138648	0.85871641	0.85293896	0.84546915	0.83758137	0.83016461	0.82380189	0.81964950	0.81826438	0.82032528	0.82606912	0.83543093	0.84771950	0.86214828	0.87734037	0.89232187	0.90664586 
15	A15  	 79.75	 82.31	 61.56	 92.71	  0.75	  6.05	  6.10	 82.93	0.03183559	0.07011702	0.25440379	0.52180799	0.65577055	0.69880671	0.72183645	0.74272855	0.76139227	0.77768221	0.79273717	0.80294881	0.80264894	0.80506849	0.81741478	0.82106756	0.81680360	0.81169707	0.80530841	0.80233418	0.81424548	0.84318733	0.86599386	0.87302992	0.87136267	0.86564966	0.85783140	0.84908343	0.84033080	0.83228564	0.82552772	0.82105103	0.81943944	0.82140449	0.82698910	0.83631158	0.84842163	0.86265152	0.87773208	0.89262679	0.90681192
16	A16  	 73.14	 75.75	 60.19	 89.74	  0.23	  2.28	  2.29	 84.35	0.03145885	0.06834557	0.24798639	0.50996953	0.64213903	0.68513696	0.70887305	0.73057791	0.74838228	0.76177415	0.77219707	0.77651575	0.76954887	0.76398146	0.76716375	0.76218910	0.75088522	0.74121018	0.73306416	0.73033128	0.74300315	0.77140769	0.79219880	0.79546356	0.78822560	0.77627859	0.76303943	0.75067958	0.74086661	0.73464270	0.73236446	0.73460367	0.74129061	0.75227452	0.76715950	0.78553842	0.80638888	0.82858857	0.85072874	0.87175154	0.89099312
17	A17  	 79.19	 81.48	 61.18	 92.34	  1.24	  5.79	  5.92	 77.91	0.03204223	0.06984522	0.25326408	0.51937807	0.65234609	0.69484547	0.71770228	0.73852689	0.75700603	0.77294090	0.78750471	0.79700522	0.79587726	0.79710635	0.80801750	0.81030536	0.80508909	0.79973532	0.79383567	0.79203624	0.80568786	0.83649825	0.86107709	0.86954197	0.86885506	0.86380598	0.85650201	0.84811390	0.83962465	0.83173269	0.82501510	0.82055779	0.81894289	0.82094979	0.82658676	0.83588616	0.84797501	0.86223828	0.87737642	0.89236101	0.90659354
18	A18  	 76.97	 80.36	 59.99	 91.85	 -1.04	  6.11	  6.19	 99.63	0.03131691	0.06830859	0.24780340	0.50785268	0.63721856	0.67801014	0.70004318	0.72084212	0.74063152	0.75921730	0.77719250	0.79019864	0.79214842	0.79572560	0.80820595	0.81142423	0.80614257	0.79961155	0.79132202	0.78579585	0.79389806	0.81765251	0.83477648	0.83621357	0.82900383	0.81812756	0.80612639	0.79451783	0.78457291	0.77713722	0.77251592	0.77153379	0.77432502	0.78111236	0.79174416	0.80600343	0.82295634	0.84164411	0.86085875	0.87938232	0.89669048 
19	A19  	 66.71	 69.58	 58.43	 86.79	 -0.84	 -1.03	  1.33	 230.94	0.03089093	0.06658129	0.24131423	0.49627029	0.62489284	0.66669473	0.69019246	0.71197173	0.72900463	0.74036152	0.74749138	0.74767615	0.73595442	0.72440146	0.72041902	0.70883989	0.69231484	0.67903170	0.66900719	0.66549460	0.67672765	0.70162084	0.71805683	0.71681572	0.70457890	0.68774098	0.67061584	0.65615300	0.64627717	0.64224135	0.64412106	0.65233287	0.66629328	0.68535819	0.70867522	0.73553335	0.76449510	0.79411642	0.82299133	0.84982274	0.87421816
20	A20  	  6.35	  2.99	  1.75	 20.00	 46.75	  6.74	 47.23	  8.21	0.00274313	0.00841969	0.02605901	0.03775247	0.03143734	0.02223055	0.01867962	0.01968423	0.02179713	0.02360321	0.02353679	0.02010151	0.01396997	0.00799438	0.00417947	0.00228702	0.00153574	0.00135560	0.00163437	0.00280808	0.00686773	0.01932349	0.04728316	0.09056894	0.13813498	0.17806259	0.20588996	0.22464215	0.23988739	0.25664735	0.27825227	0.30696603	0.34379642	0.38869859	0.44093477	0.49945763	0.56155554	0.62401390	0.68380529	0.73854866	0.78819066 
21	A21  	 26.44	 18.45	 13.83	 50.04	 40.17	  3.58	 40.33	  5.09	0.00964267	0.02708364	0.09503544	0.16790091	0.17671343	0.15902143	0.15060105	0.15629397	0.16840021	0.18334219	0.19590342	0.19716932	0.18061022	0.15226448	0.12332598	0.09947821	0.08497834	0.08048957	0.08600709	0.10537549	0.14852235	0.22242242	0.31385257	0.39817645	0.46046220	0.49933255	0.52067321	0.53178535	0.53954419	0.54858389	0.56119716	0.57882064	0.60166377	0.62924993	0.66065427	0.69515236	0.73127727	0.76711129	0.80140730	0.83264922	0.86162417
22	A22  	 53.64	 48.97	 30.88	 75.43	 17.13	 13.51	 21.82	 38.27	0.01750427	0.04381630	0.15801562	0.30084700	0.34613613	0.34028193	0.33659479	0.34711506	0.36849942	0.39876901	0.43283889	0.45902185	0.46534268	0.45642499	0.44121405	0.41896634	0.39924578	0.39178264	0.39926046	0.42619758	0.48114454	0.56092928	0.63786593	0.69239445	0.72479840	0.74127801	0.74754182	0.74799772	0.74622996	0.74462187	0.74437309	0.74680415	0.75248222	0.76176277	0.77455113	0.79079878	0.80962391	0.83000335	0.85083300	0.87082638	0.89008707
23	B1   	  3.18	  2.89	  1.63	 19.60	  6.93	  7.27	 10.04	 46.37	0.00236969	0.00525583	0.01567936	0.02266405	0.01885967	0.01370038	0.01170084	0.01260046	0.01596667	0.02254617	0.03214716	0.04143788	0.04457315	0.04004789	0.03166520	0.02358628	0.01817215	0.01561211	0.01537913	0.01785091	0.02429767	0.03488757	0.04544541	0.05074466	0.05008021	0.04622818	0.04222932	0.03963922	0.03952752	0.04231090	0.04887673	0.06051238	0.07907890	0.10699966	0.14671456	0.20074803	0.26914349	0.34906284	0.43607960	0.52472887	0.61036492
24	B2   	  3.75	  2.86	  0.99	 19.45	 16.64	 15.27	 22.59	 42.55	0.00148941	0.00395070	0.01114376	0.01492394	0.01142857	0.00768475	0.00630505	0.00677940	0.00888634	0.01333661	0.02039380	0.02812657	0.03177002	0.02934741	0.02347714	0.01761616	0.01369546	0.01207077	0.01245569	0.01553328	0.02331944	0.03720978	0.05349832	0.06520261	0.06927612	0.06779305	0.06448150	0.06213037	0.06242733	0.06639921	0.07530035	0.09057437	0.11396974	0.14754046	0.19300072	0.25202273	0.32343232	0.40365247	0.48803922	0.57156059	0.65064598
25	B3   	  4.34	  2.84	  0.61	 19.40	 25.25	 21.94	 33.45	 40.99	0.00100165	0.00300628	0.00790408	0.00987893	0.00698991	0.00430832	0.00342615	0.00367310	0.00501650	0.00793621	0.01291135	0.01882102	0.02205664	0.02077983	0.01668327	0.01249111	0.00978338	0.00883676	0.00947188	0.01265087	0.02087075	0.03702321	0.05863239	0.07768899	0.08840219	0.09131364	0.09027880	0.08908839	0.09041855	0.09594781	0.10726201	0.12591994	0.15358762	0.19173520	0.24138129	0.30341817	0.37580851	0.45466332	0.53539433	0.61349350	0.68623092
26	B4   	  5.30	  2.94	  0.16	 19.78	 35.89	 31.14	 47.51	 40.95	0.00036846	0.00105497	0.00220227	0.00223783	0.00127805	0.00063050	0.00050331	0.00056483	0.00082145	0.00161059	0.00328087	0.00627193	0.00909058	0.01001177	0.00887515	0.00707519	0.00580262	0.00547090	0.00630946	0.00927409	0.01746536	0.03555423	0.06391243	0.09428935	0.11712575	0.12948634	0.13451070	0.13697008	0.14103480	0.14951541	0.16446960	0.18764081	0.22035412	0.26330705	0.31653450	0.37985714	0.45059178	0.52460133	0.59801409	0.66712617	0.73045818
27	B5   	 12.42	 11.06	  6.18	 39.69	 12.46	 11.71	 17.10	 43.23	0.00488430	0.01344436	0.04538785	0.07404649	0.07128382	0.05942401	0.05409045	0.05693806	0.06662333	0.08361793	0.10607446	0.12605647	0.13275835	0.12458931	0.10830094	0.09039292	0.07702978	0.07061647	0.07115989	0.08020097	0.10125172	0.13384169	0.16567312	0.18422273	0.18787715	0.18231718	0.17416748	0.16804025	0.16678292	0.17203051	0.18499444	0.20693145	0.23870024	0.28075897	0.33303754	0.39519871	0.46463371	0.53728861	0.60919276	0.67686044	0.73874948
28	B6   	 14.65	 11.13	  3.87	 39.79	 26.29	 24.06	 35.63	 42.46	0.00325716	0.01036548	0.03339021	0.05065840	0.04499017	0.03479831	0.03038731	0.03195922	0.03875605	0.05177468	0.07062420	0.08949612	0.09864288	0.09490203	0.08328009	0.06978579	0.06006916	0.05641814	0.05929254	0.07129742	0.09838151	0.14353734	0.19538604	0.23643214	0.25919033	0.26659364	0.26591777	0.26377575	0.26491029	0.27219255	0.28755063	0.31194526	0.34575257	0.38853302	0.43935987	0.49727139	0.55936166	0.62211468	0.68241563	0.73777103	0.78792836
29	B7   	 16.93	 11.22	  2.47	 39.94	 38.85	 34.33	 51.85	 41.47	0.00192444	0.00776129	0.02468577	0.03501063	0.02872957	0.02072131	0.01744307	0.01836297	0.02299208	0.03254183	0.04724267	0.06322033	0.07223974	0.07062876	0.06199764	0.05177965	0.04479737	0.04287108	0.04680197	0.05988096	0.09004495	0.14441406	0.21494422	0.28146418	0.32969248	0.35783377	0.37157767	0.37833236	0.38468051	0.39491046	0.41152720	0.43577615	0.46769886	0.50642139	0.55070341	0.59967430	0.65072873	0.70108495	0.74859853	0.79137991	0.83012143
30	B8   	 20.74	 11.26	  1.00	 40.02	 58.13	 50.64	 77.09	 41.06	0.00048756	0.00415550	0.01282593	0.01623920	0.01154578	0.00726706	0.00572703	0.00606594	0.00808261	0.01261817	0.02038899	0.02996416	0.03615342	0.03583632	0.03095823	0.02531286	0.02181665	0.02150100	0.02515891	0.03633704	0.06474323	0.12502527	0.22078995	0.33468265	0.44235337	0.52865860	0.59022584	0.63094294	0.65769267	0.67650096	0.69142476	0.70567097	0.72087604	0.73794329	0.75706472	0.77861336	0.80153329	0.82496873	0.84776911	0.86882683	0.88926505
31	B9   	 34.20	 33.96	 24.43	 64.93	  5.10	  6.24	  8.06	 50.74	0.01423560	0.03523849	0.12645371	0.23840850	0.27087264	0.26293822	0.25901373	0.26899043	0.28986824	0.32001704	0.35409154	0.37997688	0.38512507	0.37289507	0.35213719	0.32460877	0.29985627	0.28576118	0.28369085	0.29605925	0.32703186	0.37181284	0.40839247	0.42325487	0.41999691	0.40713605	0.39239505	0.38073419	0.37548141	0.37832227	0.39016236	0.41147976	0.44173503	0.48000588	0.52500534	0.57558931	0.62906643	0.68237543	0.73310575	0.77914630	0.82052325
32	B10  	 35.99	 33.93	 21.33	 64.91	 11.27	 12.10	 16.53	 47.02	0.01242286	0.03267219	0.11666148	0.21534385	0.23878951	0.22687914	0.22069434	0.22889973	0.24892824	0.27956658	0.31585249	0.34544073	0.35490788	0.34614424	0.32776370	0.30258991	0.28053904	0.26956668	0.27155442	0.28972669	0.32977858	0.38791465	0.44063136	0.47094905	0.48000817	0.47577739	0.46640259	0.45762406	0.45346663	0.45632227	0.46716236	0.48646045	0.51361506	0.54763109	0.58724173	0.63137542	0.67759527	0.72338394	0.76675961	0.80599025	0.84140883
33	B11  	 37.83	 34.11	 19.49	 65.05	 16.68	 16.12	 23.19	 44.03	0.01167155	0.03107956	0.11095516	0.20186274	0.22007924	0.20604339	0.19867547	0.20583930	0.22504090	0.25538499	0.29218060	0.32306045	0.33439201	0.32719012	0.30988000	0.28604791	0.26578515	0.25698518	0.26181470	0.28430107	0.33144860	0.40082034	0.46795339	0.51303206	0.53489160	0.54044950	0.53764684	0.53270875	0.53026695	0.53314153	0.54244896	0.55887048	0.58209244	0.61115507	0.64483320	0.68218317	0.72123692	0.75995449	0.79654378	0.82974086	0.85984341
34	B12  	 42.55	 34.24	 14.06	 65.15	 30.87	 29.05	 42.39	 43.26	0.00851955	0.02543694	0.09025019	0.15627113	0.16107687	0.14340289	0.13436078	0.13894491	0.15544757	0.18404991	0.22150796	0.25642101	0.27422592	0.27299160	0.25995333	0.24027951	0.22453379	0.22052600	0.23142402	0.26308967	0.32669275	0.42423567	0.53066786	0.61965459	0.68330717	0.72448677	0.74874607	0.76152448	0.76759521	0.77048753	0.77253057	0.77568328	0.78098889	0.78906533	0.80015861	0.81446337	0.83108086	0.84899716	0.86725122	0.88451460	0.90152849
35	B13  	 62.40	 68.16	 56.71	 86.09	 -7.53	 -0.48	  7.55	 183.65	0.02936998	0.06330448	0.23005160	0.47387650	0.59716351	0.63735953	0.66040305	0.68305303	0.70398894	0.72245004	0.73842618	0.74745284	0.74321673	0.73788027	0.73863588	0.72907184	0.71130234	0.69331994	0.67512145	0.66024477	0.65650181	0.66380602	0.66179973	0.64358192	0.61702698	0.58903519	0.56432102	0.54555135	0.53439145	0.53186180	0.53797245	0.55266176	0.57502599	0.60396953	0.63806057	0.67640116	0.71658108	0.75648939	0.79433824	0.82862573	0.85891439
36	B14  	 68.96	 66.91	 54.64	 85.46	  9.82	  0.61	  9.84	  3.55	0.02875032	0.06459326	0.23525966	0.47923585	0.59601302	0.62797541	0.64581828	0.66577894	0.68204315	0.69283585	0.69863737	0.69593205	0.67915017	0.65983519	0.64615444	0.62714103	0.60826190	0.59871650	0.59970261	0.61527123	0.65422104	0.71415157	0.76730090	0.79878884	0.81358888	0.81811271	0.81639289	0.81142704	0.80538472	0.79973938	0.79558726	0.79399726	0.79563988	0.80091624	0.80982987	0.82241906	0.83756009	0.85443244	0.87170020	0.88830566	0.90414746
37	B15  	 73.42	 75.63	 49.40	 89.69	  1.04	 13.66	 13.70	 85.66	0.02572556	0.05918843	0.21525250	0.43117653	0.52607392	0.54605570	0.55591688	0.57258348	0.59714838	0.62919272	0.66571364	0.69784523	0.71568942	0.72885642	0.74442987	0.74773030	0.74201913	0.73661367	0.73282290	0.73555602	0.75514164	0.79220366	0.82205116	0.83357977	0.83367299	0.82793155	0.81929633	0.80984912	0.80108869	0.79399137	0.78934377	0.78769989	0.78968584	0.79554339	0.80515516	0.81845795	0.83433791	0.85190657	0.86988882	0.88696415	0.90305529
38	B16  	 56.10	 58.24	 46.24	 80.87	 -0.15	  2.14	  2.15	 93.95	0.02466156	0.05557772	0.20152943	0.40543960	0.49699823	0.51709566	0.52842547	0.54656866	0.56858153	0.59260689	0.61590867	0.63070319	0.62824706	0.61795293	0.60792387	0.58883723	0.56667720	0.55100275	0.54310449	0.54603454	0.56605016	0.59971067	0.62325184	0.62584215	0.61411512	0.59598686	0.57743600	0.56244295	0.55341329	0.55180188	0.55803106	0.57218782	0.59353758	0.62109200	0.65354837	0.68988638	0.72801015	0.76586111	0.80169752	0.83416615	0.86324629
39	B17  	 67.00	 65.29	 46.85	 84.63	  9.10	  7.91	 12.06	 40.98	0.02502888	0.05769224	0.21026835	0.42008421	0.51064240	0.52748273	0.53617444	0.55251432	0.57352934	0.59745865	0.62158197	0.63806314	0.63806859	0.63081614	0.62450049	0.60999991	0.59368364	0.58569590	0.58791305	0.60481676	0.64511921	0.70634310	0.76086700	0.79364227	0.80949834	0.81483549	0.81377011	0.80932268	0.80357891	0.79822182	0.79426949	0.79273608	0.79438855	0.79961126	0.80851685	0.82102412	0.83613538	0.85307206	0.87049107	0.88716867	0.90312591
40	B18  	 61.08	 67.26	 48.90	 85.63	 -8.65	  7.24	 11.28	 140.07	0.02559532	0.05701936	0.20643371	0.41682353	0.51352934	0.53741355	0.55046372	0.56913072	0.59444661	0.62594952	0.66077038	0.69003834	0.70409084	0.71262375	0.72255909	0.71904060	0.70488676	0.68906973	0.67241267	0.65887607	0.65629248	0.66457081	0.66344443	0.64584438	0.61987298	0.59231905	0.56777432	0.54917926	0.53811869	0.53559061	0.54158039	0.55597319	0.57797925	0.60641451	0.64004461	0.67783128	0.71749710	0.75692620	0.79445248	0.82834597	0.85861173
41	B19  	 58.43	 60.59	 53.83	 82.16	  0.01	 -4.22	  4.22	 270.17	0.02851287	0.06202995	0.22563606	0.46220776	0.57891692	0.61404329	0.63449311	0.65596934	0.67353958	0.68528226	0.69167855	0.68925522	0.67248679	0.65277804	0.63786475	0.61641989	0.59302114	0.57626870	0.56665099	0.56696842	0.58334353	0.61268789	0.63216174	0.63186059	0.61847106	0.59958626	0.58072950	0.56554701	0.55633549	0.55440272	0.56019219	0.57363483	0.59416933	0.62074071	0.65208422	0.68742235	0.72473410	0.76202918	0.79765914	0.83020219	0.85932863
42	B20  	  4.84	  2.91	  0.99	 19.66	 30.66	 15.74	 34.47	 27.18	0.00182591	0.00449791	0.01311642	0.01754493	0.01345027	0.00899075	0.00734274	0.00781507	0.00986147	0.01375374	0.01912447	0.02360399	0.02367188	0.01932812	0.01376214	0.00949573	0.00712119	0.00636526	0.00701214	0.00985912	0.01759454	0.03421896	0.05910932	0.08441391	0.10215233	0.11059946	0.11309932	0.11401674	0.11694082	0.12415899	0.13759936	0.15895293	0.18969176	0.23094826	0.28324164	0.34687512	0.41934295	0.49653146	0.57400400	0.64764549	0.71535272
43	B21  	 16.95	 11.28	  3.94	 40.06	 38.46	 24.09	 45.38	 32.06	0.00338234	0.01125034	0.03670373	0.05569391	0.04936565	0.03805679	0.03319794	0.03480925	0.04140026	0.05335950	0.06933278	0.08327148	0.08670395	0.07869186	0.06541790	0.05268648	0.04455994	0.04214999	0.04579405	0.05855820	0.08816278	0.14183015	0.21174268	0.27788468	0.32587156	0.35369498	0.36706646	0.37356714	0.37975551	0.38990021	0.40649756	0.43071312	0.46269082	0.50154069	0.54607871	0.59525663	0.64658073	0.69720872	0.74519814	0.78858472	0.82798899
44	B22  	 33.63	 28.45	 16.25	 60.29	 23.10	 15.17	 27.64	 33.30	0.01018154	0.02808315	0.09908155	0.17671422	0.18842071	0.17269424	0.16473760	0.17082861	0.18771264	0.21429219	0.24585279	0.27081569	0.27638842	0.26386795	0.24233418	0.21737748	0.19828691	0.19093899	0.19699681	0.22051939	0.26949331	0.34349492	0.41995629	0.47681555	0.50932365	0.52296392	0.52579354	0.52459897	0.52451124	0.52881903	0.53902627	0.55596888	0.57929361	0.60815131	0.64151042	0.67852742	0.71727110	0.75567888	0.79231319	0.82560088	0.85605193
