IT8.7/1
ORIGINATOR	"Wolf Faust"
DESCRIPTOR	"Ektachrome, Type 3, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER	"Wolf Faust - http://www.coloraid.de"
CREATED	"November 16, 2013"
DIFFUSE_GEOMETRY	"opal"
SERIAL	"E131102 Batch Average Data"
MATERIAL	"For Kodak Ektachrome Product Family (K3)"
Note: XYZ/Lab/LCh data was calculated from the spectral data below and may differ from mean XYZ/Lab/LCh data provided elsewhere.
ID	Name	X	Y	Z	L	a	b	C	h	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm
1	A1   	  2.16	  1.86	  1.32	 14.73	  8.61	  2.54	  8.98	 16.46	0.00196368	0.00506745	0.01389433	0.01979977	0.01638837	0.01170050	0.00991633	0.01072210	0.01351517	0.01861624	0.02571389	0.03165539	0.03205289	0.02677769	0.01960094	0.01358220	0.00996733	0.00835882	0.00826525	0.00991395	0.01432893	0.02210958	0.03051199	0.03539232	0.03561350	0.03319165	0.03038880	0.02861222	0.02868881	0.03112215	0.03657717	0.04628492	0.06221369	0.08681976	0.12294123	0.17357899	0.23959197	0.31890438	0.40726442	0.49889768	0.58849677
2	A2   	  2.76	  1.92	  1.07	 15.06	 19.01	  6.53	 20.10	 18.96	0.00160817	0.00443754	0.01300317	0.01800524	0.01427016	0.00980390	0.00811388	0.00873516	0.01101010	0.01515735	0.02068242	0.02505363	0.02473860	0.01990416	0.01399830	0.00943408	0.00686314	0.00588391	0.00614130	0.00805599	0.01320575	0.02346953	0.03698463	0.04821799	0.05350131	0.05380436	0.05194102	0.05054144	0.05128693	0.05516306	0.06332779	0.07732943	0.09906499	0.13061064	0.17423440	0.23175738	0.30250947	0.38330410	0.46932542	0.55536803	0.63729863 
3	A3   	  3.25	  1.85	  0.90	 14.67	 29.40	  8.51	 30.61	 16.13	0.00161664	0.00452830	0.01308483	0.01772278	0.01368183	0.00912471	0.00741810	0.00792849	0.00974937	0.01281188	0.01637551	0.01830782	0.01644530	0.01191092	0.00752615	0.00466949	0.00326956	0.00281527	0.00310613	0.00461962	0.00906818	0.01953480	0.03688258	0.05606535	0.07033546	0.07766115	0.08022349	0.08135639	0.08412140	0.09042693	0.10206212	0.12074059	0.14824170	0.18617827	0.23577521	0.29769588	0.37026507	0.44956924	0.53093533	0.60973565	0.68335067
4	A4   	  4.11	  1.89	  0.69	 14.89	 41.50	 12.73	 43.40	 17.06	0.00151020	0.00460621	0.01350198	0.01769387	0.01314794	0.00830380	0.00659900	0.00702763	0.00819229	0.00956757	0.01026584	0.00932167	0.00663700	0.00375518	0.00189737	0.00103434	0.00066370	0.00058177	0.00069088	0.00123880	0.00333762	0.01051809	0.02817257	0.05762330	0.09134745	0.12010061	0.14023345	0.15397385	0.16577039	0.17990557	0.19909983	0.22581874	0.26130984	0.30607839	0.35984268	0.42196011	0.48979198	0.55957722	0.62780011	0.69119763	0.74925716 
5	A5   	  9.69	  8.32	  5.81	 34.65	 14.17	  4.74	 14.94	 18.50	0.00485398	0.01317917	0.04409048	0.07237081	0.06995587	0.05831590	0.05314731	0.05606566	0.06490074	0.07952881	0.09741612	0.11087985	0.11107704	0.09851143	0.08089406	0.06417044	0.05276248	0.04751775	0.04791472	0.05511948	0.07233417	0.09987214	0.12814301	0.14568567	0.15006135	0.14597427	0.13930441	0.13433422	0.13368698	0.13881804	0.15103713	0.17164434	0.20189922	0.24265711	0.29428529	0.35676717	0.42782902	0.50342200	0.57929894	0.65138794	0.71780377
6	A6   	 11.55	  8.26	  4.91	 34.52	 28.74	  9.02	 30.12	 17.42	0.00411244	0.01272449	0.04229971	0.06745344	0.06302649	0.05085698	0.04550272	0.04783370	0.05523743	0.06725403	0.08145556	0.09087527	0.08832159	0.07526666	0.05924162	0.04550088	0.03701246	0.03389263	0.03575224	0.04449160	0.06532893	0.10222208	0.14764950	0.18625252	0.20925499	0.21806585	0.21891429	0.21801975	0.21998806	0.22773046	0.24309403	0.26739023	0.30129191	0.34468814	0.39693074	0.45709354	0.52246688	0.58928418	0.65419976	0.71434273	0.76903195 
7	A7   	 14.18	  8.52	  4.31	 35.05	 43.86	 13.26	 45.82	 16.82	0.00410369	0.01275588	0.04212877	0.06575552	0.05989164	0.04701289	0.04144933	0.04337628	0.04960565	0.05901178	0.06899859	0.07362455	0.06774062	0.05410305	0.03990441	0.02912798	0.02321242	0.02155465	0.02391335	0.03259676	0.05446985	0.09837613	0.16250558	0.23042719	0.28529880	0.32110608	0.34117151	0.35248151	0.36192912	0.37444367	0.39257747	0.41794904	0.45083895	0.49054232	0.53593411	0.58583802	0.63788334	0.68943920	0.73825637	0.78257716	0.82292113
8	A8   	 17.21	  8.58	  3.50	 35.16	 60.97	 18.45	 63.70	 16.84	0.00325150	0.01253911	0.04143088	0.06294724	0.05550639	0.04198218	0.03625865	0.03782131	0.04215055	0.04752672	0.05118847	0.04915024	0.03987848	0.02757668	0.01756838	0.01139564	0.00852527	0.00799234	0.00955770	0.01519123	0.03165568	0.07275327	0.14981056	0.25573773	0.36764768	0.46471645	0.53791758	0.58836146	0.62246270	0.64685351	0.66599026	0.68339366	0.70098591	0.72004636	0.74089473	0.76388540	0.78825392	0.81310807	0.83738930	0.85987892	0.88184972 
9	A9   	 29.22	 28.18	 21.04	 60.05	  8.04	  4.30	  9.12	 28.13	0.01287988	0.03186215	0.11382834	0.21191268	0.23703283	0.22667298	0.22161826	0.23050798	0.24965146	0.27718163	0.30776831	0.32953602	0.33046075	0.31375385	0.28911170	0.26013162	0.23604945	0.22322353	0.22239792	0.23580022	0.26769731	0.31395311	0.35380351	0.37288975	0.37316683	0.36289040	0.35001010	0.33977231	0.33562202	0.33945223	0.35213921	0.37429061	0.40567498	0.44550539	0.49255701	0.54555960	0.60200670	0.65859534	0.71278876	0.76236563	0.80697194
10	A10  	 30.80	 27.85	 19.98	 59.75	 15.30	  5.94	 16.41	 21.23	0.01229215	0.03163804	0.11272907	0.20750401	0.22950761	0.21714628	0.21100460	0.21917624	0.23725414	0.26316794	0.29162787	0.31081745	0.30934471	0.29052803	0.26454596	0.23592706	0.21355119	0.20311212	0.20555111	0.22366504	0.26335964	0.32198000	0.37769120	0.41261230	0.42569246	0.42438802	0.41699816	0.40976132	0.40694003	0.41108807	0.42330766	0.44422766	0.47346968	0.50994781	0.55248466	0.59983085	0.64957288	0.69915941	0.74627989	0.78923224	0.82796828
